Country Name,Country ID,Gender,Ruler Name,Person ID,Ruler Dynasty,Secondary Dynasty,Rule Start Month,Rule Start Year,Rule End Month,Rule End Year,Regency 1?,Regent Name,Regent Person ID,Regency 2? ,ID,Start Regency1 Month,Start Regency 1 Year,End Regency1 Month,End Regency1 Year,Start Regency2 Month,Start Regency2 Year,End Regency 2 Month ,End Regency2 Year,Regency 3 name ,ID,Regency 3 Begin Year ,Regency 3 End Month,Regency 3 End ,Was assasinated?,Was Sickly?,Other Notes,IS_MEMBER_HRE,IS_MEMBER_GC,IS_MEMBER_NGC,Is_Member_Habsburg_Alliance_Block,Is_Member_Spanish_Alliance_Block,Capital_Name,Capital_Lat,Capital_Long,Religion,"Reference For Rule Date: 1 for rule begin and end directly from 'Rulers and Governments', 3 for 'Rulers and Governments' as primary source but some minor modification was made or comment was necessary, 4 for ""Monarchs, Rulers, Dynasties and Kingdoms of the World"" as primary source, 5 for other citation, 6 for primary source was non-Rulers and Governments, and some minor modification was made or comment was neccesary",Note on Ruler Coding,Rule Is Transferred to this Individual as a Result of War Outcome,Citation for Rule Is Transferred to this Individual as a Result of War Outcome,Is_Landlocked,Archduchy of Austria/Habsburg Empire/Austrian Crownlands/Austria-Hungary,Belgium,County Palatine of the Rhine/Electoral Palatinate/The Palatinate,Crown of Castile,Duchy of Holstein,Duchy of Limburg,Duchy of Lucca,Duchy of Luxembourg,Duchy of Parma,Electorate of Saxony/Kingdom of Saxony/Saxony,Electorate/Duchy/Kingdom of Bavaria,Grand Duchy of Hesse (Hesse-Darmstadt),Electorate of Hesse (Hesse-Kassel),Electorate/Margraviate of Brandenburg/Brandenburg-Prussia/Kingdom of Prussia,France -- First French Empire,French First Republic,France -- Kingdom of France,France -- Second French Empire,French Second Republic,French Third Republic (1870-1940),German Confederation [HRE Successor],German Empire [HRE Successor],Grand Duchy of Baden,Grand Duchy of Lithuania,Grand Duchy of Tuscany,Holy Roman Empire,Independent Principality of Lichtenstein,Kingdom of Bohemia,Kingdom of Denmark,Kingdom of England/ England-Scotland/Great Britain/United Kingdom,Kingdom of Greece,Kingdom of Hanover/Duchy of Brunswick/Electorate of Brunswick Luneberg/Electorate of Hanover,Kingdom of Hungary/ Christian Hungary,Kingdom of Naples,Kingdom of Navarre,Kingdom of Norway,Kingdom of Poland/Polish-Lithuanian Commonwealth,Kingdom of Portugal and the Algarves,Kingdom of Romania/United Principalities/Kingdom of Romania/Moldavia,Kingdom of Sardinia/ Peidmont-Sardinia/ Kingdom of Italy,Kingdom of Scotland ,Kingdom of Sicily ,Kingdom of Sweden,Kingdom of the Two Sicilies,Kingdom of Württemberg,Mecklenburg-Schwerin,Mecklenburg-Strelitz,North German Confederation [HRE Successor],Oldenburg,Principality of Bulgaria/Kingdom of Bulgaria,Principality of Montenegro/Kingdom of Montenegro,Principality of Serbia/Kingdom of Serbia,Principality of Zeta,Republic of the Seven United Netherlands/Kingdom of the Netherlands/The Netherlands,Russia -- Grand Duchy of Moscow,Russia -- Tsardom of Russia/Russian Empire,Saxe-Weimar-Eisenach,Spain -- Crown of Aragon,Spain -- Habsburg Spain,Spain -- Kingdom of Spain,Religion Citation,Capital Location Citation
Grand Duchy of Baden,19,M,Frederick I,429,Zähringen,,August,1866,May,1870,,,,,,,,,,,,,,,,,,,,,,,,,,,Karlsruhe,"49,00689","8,403653",Lutheranism,1,,,,1,Never,Never,DNE,DNE,DNE,DNE,DNE,Never,DNE,Never,Yes,Yes,Never,No,DNE,DNE,DNE,Yes,DNE,DNE,DNE,DNE,Never,DNE,DNE,DNE,Never,DNE,Never,Never,DNE,Never,DNE,DNE,DNE,Never,DNE,Never,Never,Never,DNE,DNE,Never,DNE,Yes,Never,Never,Yes,Never,Never,Never,Never,Never,Never,DNE,Never,Never,DNE,DNE,Never,https://en.wikipedia.org/wiki/Grand_Duchy_of_Baden,https://en.wikipedia.org/wiki/Grand_Duchy_of_Baden
Grand Duchy of Baden,19,M,Frederick I,429,Zähringen,,May,1870,,1871,,,,,,,,,,,,,,,,,,,,,,,,,,,Karlsruhe,"49,00689","8,403653",Lutheranism,1,,,,1,Never,Never,DNE,DNE,DNE,DNE,DNE,Never,DNE,Never,Yes,Yes,Never,Yes,DNE,DNE,DNE,Yes,DNE,DNE,DNE,DNE,Never,DNE,DNE,DNE,Never,DNE,Never,Never,DNE,Never,DNE,DNE,DNE,Never,DNE,Never,Never,Never,DNE,DNE,Never,DNE,Yes,Never,Never,Yes,Never,Never,Never,Never,Never,Never,DNE,Never,Never,DNE,DNE,Never,https://en.wikipedia.org/wiki/Grand_Duchy_of_Baden,https://en.wikipedia.org/wiki/Grand_Duchy_of_Baden
Electorate/Duchy/Kingdom of Bavaria,20,M,"Maximilian I, Elector of Bavaria",11794,Wittelsbach,,February,1623,March,1632,,,,,,,,,,,,,,,,,,,,,,1,,,,,Munich,"48,135125","11,581981",Roman Catholic,1,,,,1,Yes,DNE,Never,DNE,DNE,DNE,DNE,DNE,DNE,Never,Never,DNE,DNE,No,DNE,DNE,No,DNE,DNE,DNE,DNE,DNE,DNE,DNE,DNE,Yes,DNE,Yes,Never,Never,DNE,DNE,Never,Never,DNE,Never,Never,Never,Never,Never,Never,Never,No,DNE,No,DNE,DNE,DNE,DNE,DNE,DNE,DNE,Never,Never,DNE,Never,DNE,DNE,Never,DNE,https://en.wikipedia.org/wiki/Electorate_of_Bavaria,https://en.wikipedia.org/wiki/Electorate_of_Bavaria
Electorate/Duchy/Kingdom of Bavaria,20,M,"Maximilian I, Elector of Bavaria",11794,Wittelsbach,,March,1632,March,1635,,,,,,,,,,,,,,,,,,,,,,1,,,,,Munich,"48,135125","11,581981",Roman Catholic,1,,,,1,Yes,DNE,Never,DNE,DNE,DNE,DNE,DNE,DNE,Never,Never,DNE,DNE,No,DNE,DNE,No,DNE,DNE,DNE,DNE,DNE,DNE,DNE,DNE,Yes,DNE,Yes,Never,Never,DNE,DNE,Never,Never,DNE,Never,Never,Never,Never,Never,Never,Never,Yes,DNE,No,DNE,DNE,DNE,DNE,DNE,DNE,DNE,Never,Never,DNE,Never,DNE,DNE,Never,DNE,https://en.wikipedia.org/wiki/Electorate_of_Bavaria,https://en.wikipedia.org/wiki/Electorate_of_Bavaria
Electorate/Duchy/Kingdom of Bavaria,20,M,"Maximilian I, Elector of Bavaria",11794,Wittelsbach,,March,1635,June,1645,,,,,,,,,,,,,,,,,,,,,,1,,,,,Munich,"48,135125","11,581981",Roman Catholic,1,,,,1,Yes,DNE,Never,DNE,DNE,DNE,DNE,DNE,DNE,Never,Never,DNE,DNE,No,DNE,DNE,No,DNE,DNE,DNE,DNE,DNE,DNE,DNE,DNE,Yes,DNE,Yes,Never,Never,DNE,DNE,Never,Never,DNE,Never,Never,Never,Never,Never,Never,Never,No,DNE,No,DNE,DNE,DNE,DNE,DNE,DNE,DNE,Never,Never,DNE,Never,DNE,DNE,Never,DNE,https://en.wikipedia.org/wiki/Electorate_of_Bavaria,https://en.wikipedia.org/wiki/Electorate_of_Bavaria
Electorate/Duchy/Kingdom of Bavaria,20,M,"Maximilian I, Elector of Bavaria",11794,Wittelsbach,,June,1645,June,1646,,,,,,,,,,,,,,,,,,,,,,1,,,,,Munich,"48,135125","11,581981",Roman Catholic,1,,,,1,Yes,DNE,Never,DNE,DNE,DNE,DNE,DNE,DNE,Never,Never,DNE,DNE,No,DNE,DNE,No,DNE,DNE,DNE,DNE,DNE,DNE,DNE,DNE,Yes,DNE,Yes,Never,Never,DNE,DNE,Never,Never,DNE,Never,Never,Never,Never,Never,Never,Never,Yes,DNE,No,DNE,DNE,DNE,DNE,DNE,DNE,DNE,Never,Never,DNE,Never,DNE,DNE,Never,DNE,https://en.wikipedia.org/wiki/Electorate_of_Bavaria,https://en.wikipedia.org/wiki/Electorate_of_Bavaria
Electorate/Duchy/Kingdom of Bavaria,20,M,"Maximilian I, Elector of Bavaria",11794,Wittelsbach,,June,1646,August,1648,,,,,,,,,,,,,,,,,,,,,,1,,,,,Munich,"48,135125","11,581981",Roman Catholic,1,,,,1,Yes,DNE,Never,DNE,DNE,DNE,DNE,DNE,DNE,Never,Never,DNE,DNE,No,DNE,DNE,Yes,DNE,DNE,DNE,DNE,DNE,DNE,DNE,DNE,Yes,DNE,Yes,Never,Never,DNE,DNE,Never,Never,DNE,Never,Never,Never,Never,Never,Never,Never,Yes,DNE,No,DNE,DNE,DNE,DNE,DNE,DNE,DNE,Never,Never,DNE,Never,DNE,DNE,Never,DNE,https://en.wikipedia.org/wiki/Electorate_of_Bavaria,https://en.wikipedia.org/wiki/Electorate_of_Bavaria
Electorate/Duchy/Kingdom of Bavaria,20,M,"Maximilian I, Elector of Bavaria",11794,Wittelsbach,,August,1648,February,1649,,,,,,,,,,,,,,,,,,,,,,1,,,,,Munich,"48,135125","11,581981",Roman Catholic,1,,,,1,Yes,DNE,Never,DNE,DNE,DNE,DNE,DNE,DNE,Never,Never,DNE,DNE,No,DNE,DNE,Yes,DNE,DNE,DNE,DNE,DNE,DNE,DNE,DNE,Yes,DNE,Yes,Never,Never,DNE,DNE,Never,Never,DNE,Never,Never,Never,Never,Never,Never,Never,No,DNE,No,DNE,DNE,DNE,DNE,DNE,DNE,DNE,Never,Never,DNE,Never,DNE,DNE,Never,DNE,https://en.wikipedia.org/wiki/Electorate_of_Bavaria,https://en.wikipedia.org/wiki/Electorate_of_Bavaria
Electorate/Duchy/Kingdom of Bavaria,20,M,"Maximilian I, Elector of Bavaria",11794,Wittelsbach,,February,1649,September,1651,,,,,,,,,,,,,,,,,,,,,,1,,,,,Munich,"48,135125","11,581981",Roman Catholic,1,,,,1,Yes,DNE,Never,DNE,DNE,DNE,DNE,DNE,DNE,Never,Never,DNE,DNE,No,DNE,DNE,No,DNE,DNE,DNE,DNE,DNE,DNE,DNE,DNE,Yes,DNE,Yes,Never,Never,DNE,DNE,Never,Never,DNE,Never,Never,Never,Never,Never,Never,Never,No,DNE,No,DNE,DNE,DNE,DNE,DNE,DNE,DNE,Never,Never,DNE,Never,DNE,DNE,Never,DNE,https://en.wikipedia.org/wiki/Electorate_of_Bavaria,https://en.wikipedia.org/wiki/Electorate_of_Bavaria
Electorate/Duchy/Kingdom of Bavaria,20,M,"Ferdinand Maria, Elector of Bavaria",11795,Wittelsbach,,September,1651,May,1679,Yes,"Albert VI, Duke of Bavaria",,,,September',1651,,1654,,,,,,,,,,,,,1,,,,,Munich,"48,135125","11,581981",Roman Catholic,1,,,,1,Yes,DNE,Never,DNE,DNE,DNE,DNE,DNE,DNE,Never,Never,DNE,DNE,No,DNE,DNE,No,DNE,DNE,DNE,DNE,DNE,DNE,DNE,DNE,Yes,DNE,Yes,Never,Never,DNE,DNE,Never,Never,DNE,Never,Never,Never,Never,Never,DNE,Never,No,DNE,No,DNE,DNE,DNE,DNE,DNE,DNE,DNE,Never,Never,DNE,Never,DNE,DNE,Never,DNE,https://en.wikipedia.org/wiki/Electorate_of_Bavaria,https://en.wikipedia.org/wiki/Electorate_of_Bavaria
Electorate/Duchy/Kingdom of Bavaria,20,M,"Maximilian II Emanuel, Elector of Bavaria",2428,Wittelsbach,,May,1679,,1704,,,,,,,,,,,,,,,,,,,,,,1,,,,,Munich,"48,135125","11,581981",Roman Catholic,1,,,,1,Yes,DNE,Never,DNE,DNE,DNE,DNE,DNE,DNE,Never,Never,DNE,DNE,No,DNE,DNE,No,DNE,DNE,DNE,DNE,DNE,DNE,DNE,DNE,Yes,DNE,Yes,Never,Never,DNE,Never,Never,Never,DNE,Never,Never,Never,Never,Never,DNE,Never,No,DNE,No,DNE,DNE,DNE,DNE,DNE,DNE,DNE,Never,Never,DNE,Never,DNE,DNE,Never,DNE,https://en.wikipedia.org/wiki/Electorate_of_Bavaria,https://en.wikipedia.org/wiki/Electorate_of_Bavaria
Electorate/Duchy/Kingdom of Bavaria,20,,,Interregnum; Country Occuped by Austra,,,,1704,,1714,,,,,,,,,,,,,,,,,,,,,,1,,,,,Munich,"48,135125","11,581981",Roman Catholic,1,Interregnum confirmed by Spuler,,,1,Yes,DNE,Never,DNE,DNE,DNE,DNE,DNE,DNE,Never,Never,DNE,DNE,No,DNE,DNE,No,DNE,DNE,DNE,DNE,DNE,DNE,DNE,DNE,Yes,DNE,Yes,Never,Never,DNE,Never,Never,Never,DNE,Never,Never,Never,Never,Never,DNE,Never,No,DNE,No,DNE,DNE,DNE,DNE,DNE,DNE,DNE,Never,Never,DNE,Never,DNE,DNE,DNE,Never,https://en.wikipedia.org/wiki/Electorate_of_Bavaria,https://en.wikipedia.org/wiki/Electorate_of_Bavaria
Electorate/Duchy/Kingdom of Bavaria,20,M,"Maximilian II Emanuel, Elector of Bavaria",2428,Wittelsbach,,,1714,February,1726,,,,,,,,,,,,,,,,,,,,,,1,,,,,Munich,"48,135125","11,581981",Roman Catholic,1,,,,1,Yes,DNE,Never,DNE,DNE,DNE,DNE,DNE,DNE,Never,Never,DNE,DNE,No,DNE,DNE,No,DNE,DNE,DNE,DNE,DNE,DNE,DNE,DNE,Yes,DNE,Yes,Never,Never,DNE,Never,DNE,Never,DNE,Never,DNE,Never,Never,Never,DNE,Never,No,DNE,No,DNE,DNE,DNE,DNE,DNE,DNE,DNE,Never,Never,DNE,Never,DNE,DNE,DNE,Never,https://en.wikipedia.org/wiki/Electorate_of_Bavaria,https://en.wikipedia.org/wiki/Electorate_of_Bavaria
Electorate/Duchy/Kingdom of Bavaria,20,M,"Charles VII, Holy Roman Emperor",10378,Wittelsbach,,February,1726,June,1741,,,,,,,,,,,,,,,,,,,,,,1,,,,,Munich,"48,135125","11,581981",Roman Catholic,1,,,,1,Yes,DNE,Never,DNE,DNE,DNE,DNE,DNE,DNE,Never,Never,DNE,DNE,No,DNE,DNE,No,DNE,DNE,DNE,DNE,DNE,DNE,DNE,DNE,Yes,DNE,Yes,Never,Never,DNE,Never,DNE,Never,DNE,Never,DNE,Never,Never,Never,DNE,Never,No,DNE,No,DNE,DNE,DNE,DNE,DNE,DNE,DNE,Never,Never,DNE,Never,DNE,DNE,DNE,Never,https://en.wikipedia.org/wiki/Electorate_of_Bavaria,https://en.wikipedia.org/wiki/Electorate_of_Bavaria
Electorate/Duchy/Kingdom of Bavaria,20,M,"Charles VII, Holy Roman Emperor",10378,Wittelsbach,,June,1741,June,1743,,,,,,,,,,,,,,,,,,,,,,1,,,,,Munich,"48,135125","11,581981",Roman Catholic,1,,,,1,Yes,DNE,Never,DNE,DNE,DNE,DNE,DNE,DNE,Never,Never,DNE,DNE,No,DNE,DNE,Yes,DNE,DNE,DNE,DNE,DNE,DNE,DNE,DNE,Yes,DNE,Yes,Never,Never,DNE,Never,DNE,Never,DNE,Never,DNE,Never,Never,Never,DNE,Never,No,DNE,No,DNE,DNE,DNE,DNE,DNE,DNE,DNE,Never,Never,DNE,Never,DNE,DNE,DNE,Never,https://en.wikipedia.org/wiki/Electorate_of_Bavaria,https://en.wikipedia.org/wiki/Electorate_of_Bavaria
Electorate/Duchy/Kingdom of Bavaria,20,M,"Charles VII, Holy Roman Emperor",10378,Wittelsbach,,June,1743,January,1745,,,,,,,,,,,,,,,,,,,,,,1,,,,,Munich,"48,135125","11,581981",Roman Catholic,1,,,,1,Yes,DNE,Never,DNE,DNE,DNE,DNE,DNE,DNE,Never,Never,DNE,DNE,No,DNE,DNE,No,DNE,DNE,DNE,DNE,DNE,DNE,DNE,DNE,Yes,DNE,Yes,Never,Never,DNE,Never,DNE,Never,DNE,Never,DNE,Never,Never,Never,DNE,Never,No,DNE,No,DNE,DNE,DNE,DNE,DNE,DNE,DNE,Never,Never,DNE,Never,DNE,DNE,DNE,Never,https://en.wikipedia.org/wiki/Electorate_of_Bavaria,https://en.wikipedia.org/wiki/Electorate_of_Bavaria
Electorate/Duchy/Kingdom of Bavaria,20,M,"Maximilian III Joseph, Elector of Bavaria",11796,Wittelsbach,,January,1745,April,1764,,,,,,,,,,,,,,,,,,,,,,1,,,,,Munich,"48,135125","11,581981",Roman Catholic,1,,,,1,Yes,DNE,Never,DNE,DNE,DNE,DNE,DNE,DNE,Never,Never,DNE,DNE,No,DNE,DNE,No,DNE,DNE,DNE,DNE,DNE,DNE,DNE,DNE,Yes,DNE,Yes,Never,Never,DNE,Never,DNE,Never,DNE,Never,DNE,Never,Never,Never,DNE,Never,No,DNE,No,DNE,DNE,DNE,DNE,DNE,DNE,DNE,Never,Never,DNE,Never,DNE,DNE,DNE,Never,https://en.wikipedia.org/wiki/Electorate_of_Bavaria,https://en.wikipedia.org/wiki/Electorate_of_Bavaria
