Person ID,Name,Birth Year,Death Year,Coronation Year,Title
10857,Margarita  /_____/,,
10858,William I of Sicily/_____/,,1166,,King of Sicily
10859,Sancha  /_____/,,
10860,Daughter  /Hauteville/,,
10861,Gaston V /de Bearn/,Vcte de Bearn,
10862,Pedro  /Manrique/,,1202,,Vcte de Narbonne
10863,Alfonso  /Ramirez/,sn de Castroviejo,
10864,Elvira  /_____/,,1163,,
10865,Ladron  /de Alava/,sn de Alava,
10866,Rodrigo  /de Manzanedo/,Cde de Manzanedo,
10867,Sanch  /Sanchez/,,1120,,sn de Erro y Tafalla
10868,Ordono Ordonez /de Leon/,,
10869,Urraca  /de Leon/,,
10870,Maria  /_____/,,
10871,Diego  /Lopez/,sn soberano de Vizcaya,
10872,Mencia  /_____/,,
10873,Lope  /de Najera/,,1068,,sn de Najera
10874,_____  /_____/,,
10875,Liuva of Septimania/_____/,King of Visigoths,
10876,Leodegild I of Visigoths/_____/,King of Visigoths,
10877,Athanagild of the Visigoths/_____/,King of the Visigoths,
10878,Goswinda  /_____/,,
10879,Theodosia  /_____/,,
10880,Hermenegild II the Holy/_____/,King,
10881,Sigebert I of Austrasia/_____/,King of Austrasia,
10882,Ingunda of Austrasia/_____/,,
10883,Athanagild  /_____/,,
10884,Maurice of Byzantine/_____/,Byzantine Emperor,
10885,Relative of /_____/,,
10886,Flavia  /Juliana/,,
10887,Ardabast  /_____/,,
10888,Ervik of the Visigoths/_____/,King of the Visigoths,
10889,Reccared I of the Visigoths/_____/,King of the Visigoths,
10890,Chodoswintha of Austrasia/_____/,,
10891,Swinthila of the Visigoths/_____/,King of the Visigoths,
10892,Bauda  /_____/,,
10893,Liuga II of the Visigoths/_____/,King of the Visigoths,
10894,Sigebut of the Visigoths/_____/,King of the Visigoths,
10895,Theodora of the Visigoths/_____/,,
10896,Reccared II of the Visigoths/_____/,King of the Visigoths,
10897,Recimir of the Visigoths/_____/,King,
10898,Sisinand of the Visigoths/_____/,King of the Visigoths,
10899,Chinthila of the Visigoths/_____/,King of the Visigoths,
10900,Chinaswind of the Visigoths/_____/,King of the Visigoths,
10901,Liubigotona of the Visigoths/_____/,,
10902,Fulka (Tulga) of the Visigoths/_____/,King of the Visigoths,
10903,Rekiberga  /_____/,,
10904,Recaswind of the Visigoths/_____/,King of the Visigoths,
10905,Theodofred of Cordova/_____/,Duke of Cordova,
10906,Favila of Cantabria/_____/,Duke of Cantabria,
10907,Recilona of Cordova/_____/,Princess,
10908,Rodrigo of the Visigoths/_____/,King of the Visigoths,
10909,Egilona  /_____/,,
10910,Gaudiosa  /_____/,,
10911,Froiliuba  /_____/,,
10912,Favinia of Asturias/_____/,,
10913,Luitfred III of Suevena/_____/,Duke of Suevena,
10914,Cixillo of the Visigoths/_____/,,
10915,Egica of the Visigoths/_____/,King of the Visigoths,
10916,Witica of Galicia/_____/,King of the Visigoths,
10917,Munia  /_____/,,
10918,Daughter  /_____/,,
10919,Daughter of Asturias/_____/,,
10920,Conde  /Nepociano/,King of Asturias,
10921,Vimerano of Asturias/_____/,,
10922,Usenda  /_____/,,
10923,_____ of Galicia/_____/,,
10924,Paterna  /de Castile/,sna de Castile,
10925,Munia  /_____/,,
10926,Jimena of Pamplona/_____/,,
10928,Munia Domna /Fernandez/,,
10929,Sancha of Pamplona/_____/,,
10930,Hermenegildo  /Gutierrez/,Cde,
10931,Hermesenda  /Gatonez/,,
10932,Elvira  /Hermenegildez/,,
10933,Gonzalo  /Betotez/,Cde Betotez,
10934,Teresa  /Eriz/,,
10935,Aragonta  /Betotez/,,
10936,Olemundo  /_____/,,
10937,Ardabasto  /_____/,,
10938,Sara  /_____/,,
10939,_____ of Seville/_____/,Arab Leader,
10940,`Abdullah al-Muhammed Wali of Toledo//,Emir of Toledo,
10941,Urraca of Toledo/_____/,,
10942,Nunilo  /Ximena/,,
10943,Ordono  /_____/,,
10944,Alfonso  /Froilaz/,Titular King of Le\xA2n,
10945,Ramiro  /_____/,,
10946,Eudo  /_____/,,
10947,Fortis of Lugo/_____/,Abbess of Lugo,
10948,Urraca  /_____/,,
10949,Aznar  /Purceliz/,,
10950,Gonzalo of Oviedo/_____/,Abbot of Oviedo,
10951,Vermundo  /_____/,,
10952,Ramiro of Asturias/_____/,Titular King of Asturias,
10953,Urraca  /_____/,,
10954,Vermundo  /_____/,,
10955,Fruela  /_____/,,
10956,Munio  /_____/,,
10957,Gontrada  /_____/,,
10958,Vermundo  /Nunez/,,
10959,Velasquita  /_____/,,
10960,Fernando  /Bermudez/,Cde Bermudez,
10961,Elvira  /_____/,,
10962,Gome  /Fernandez/,,
10963,Jimena  /Fernandez/,,1035,,
10964,Oneca  /Fernandez/,,
10965,Justa  /Fernandez/,,
10966,Gotina  /Fernandez/,,
10967,Flagin  /Munoz/,,1000,,Cde Munoz
10968,Pelayo  /Rodriguez/,,
10969,Vela  /Bermudez/,,
10970,Argilo  /Velaz/,,
10971,Vermundo  /Velaz/,,1028,,
10972,Elvira  /Lugo/,,
10973,Gonzalo  /Bermudez/,Cde de Luna,
10974,Ildoncia of Le\xA2n/_____/,,
10975,Daughter  /de Luna/,,
10976,Garcia  /de Saldana/,Cde de Saldana,
10977,Froiliuba  /_____/,,
10978,Munio  /Flaginiz/,Cde Flaginiz,
10979,Odoarioa  /_____/,,
10980,Leodegundis  /_____/,,
10982,Gaton  /de el Bierzo/,Cde de el Bierzo,
10983,Egilo  /_____/,,
10984,Bermudo  /Gatonez/,Cde,
10985,Savarico  /_____/,Bishop of Montonedo,
10986,Rodrigo  /de Castile/,Cde de Castile,
10987,Diego Rodriguez /Porcelos/,Cde de Castile,
10988,Rodrigo  /Diaz/,,
10989,Gonzalo  /Diaz/,,
10990,Marello  /Diaz/,,
10991,Diego  /Diaz/,,
10992,Fernando  /Diaz/,Cde de Lantaron y Castile,
10993,Gutina  /_____/,,
10994,Justa  /_____/,,
10995,Fernando  /Nunez/,,
10996,Agila II of the Visigoths/_____/,King of the Visigoths,
10997,Sancho  /Ordonez/,Titular King of Le\xA2n,
10998,Nuno  /Gutierrez/,Cde,
10999,Elvira  /Arias/,,
11000,Goto  /Gutierrez/,,
11001,Oneca of Pamplona/_____/,,
11003,Urraca  /de Castile/,,1007,,
11004,Alfonso  /_____/,,
11005,Urraca of Pamplona/_____/,,
11006,Guttiere  /Osorez/,Cde,
11007,Ildoncia  /Gutierrez/,,
11008,Adosina  /_____/,,
11009,Vermundo  /_____/,,
11010,Teresa  /_____/,,
11011,Ordono of Le\xA2n/_____/,,
11012,Teresa  /_____/,Nun at San Julian de Le\xA2n,
11013,Aragonta  /Pelaez/,,
11014,Ramiro  /_____/,Cde,
11015,Velasquita  /_____/,,1024,,
11016,Garcia I /de Castile/,Cde de Castile,
11017,Elvira  /_____/,,1017,,
11018,Cristina  /_____/,,
11019,Urraca of Le\xA2n/_____/,,
11020,Menendo  /Gonzalez/,Cde,
11021,Elvira  /_____/,,1022,,
11023,Jimena  /_____/,1012,1063,,
11024,Alfonso  /_____/,1030,1030,,
11025,Jimena  /_____/,,
11026,Fernando  /Gundemariz/,Cde,
11027,Teresa of Le\xA2n/_____/,,1039,,
11028,Pelayo  /_____/,,1006,,
11029,Sancha  /_____/,Nun at San Pelayo Oviedo,
11030,Ansur  /Fernandez/,Cde,
11031,Teresa  /_____/,,
11032,Gomez  /de Saldana/,Cde de Saldana,
11033,Sancha  /_____/,,
11034,Ordona  /Ramirez/,,
11035,Alfonso  /Ordonez/,,1057,,
11036,Cristina  /_____/,,
11037,Anderquina  /_____/,,
11038,Ordono  /Ordonez/,,
11039,_____  /_____/,,
11040,Garcia  /Ordonez/,,1108,,Cde de Najera y Granon
11041,Pedro  /Froilaz/,Cde de Trava,
11042,Mayor  /de Urdel/,,
11043,Eva  /_____/,,
11044,Teresa  /Ordonez/,,
11045,Argilo  /Ordonez/,,
11046,Urraca  /Ordonez/,,
11047,Rodrigo Ordonez /Alfarez/,,
11048,Diego  /Ordonez/,,
11049,Alvar Diaz /de Oca/,,1111,,
11050,Sancho  /de Erro y Tafalla/,,1120,,
11051,Pelaya  /Ordonez/,,
11052,Eslonza  /Ordonez/,,
11053,Vermudo  /Armentariz/,,
11054,Pelayo  /Froilaz/,Cde,
11055,Urraca  /_____/,,
11056,Nepociano  /Diaz/,Cde,
11057,Elvira of Le\xA2n/_____/,Regent of Le\xA2n,
11058,Garcia  /_____/,,
11059,Jimena  /_____/,,
11060,"Nuno Nunez ""Rasura"" el/de Branosera/",,
11061,Argilo  /_____/,,
11062,Nuno Nunez el/de Castrogeriz/,Conde de Castile,
11063,_____  /_____/,,
11064,Conde Diego /de Castile/,,
11065,Daughter  /de Castile/,,
11066,Nuno  /Nunez/,Cde de Castile,
11067,Muniadomna  /_____/,,
11068,Gonzalo  /Fern\xA0ndez/,,
11069,Fernan  /Gonz\xA0lez/,Cde de Lara,
11070,Urraca of Pamplona/_____/,,1041,,
11071,Alvaro  /de Alava/,Cde de Alava,
11072,Rodrigo Rodriguez /de Lara/,1123,,
11073,Garcia  /de Azagra/,,
11074,Sancha Rodriquez /de Lara/,,
11075,Gonsalo Ruis II/Giron/,,1234,,
11076,Aldonza Gonzales /Giron/,,
11077,Ramiro Se\xA4or /de Cifontes/,,
11078,Aldonza  /Ramirez/,Sra. de Alcanices,
11079,Fernan  /Gonsales/,,
11080,Meria  /de Henestrona/,,
11081,Juan Garciez /de Padilla/,1355,Se\xA4or de Villagera,
11082,Maria  /de Padilla/,1335,1365,,
11083,"Ibn Abi Amir ""Almanzor""/al-Mansur/",,1002,,Vizier of Cordoba
11084,Gonzalo  /Fern\xA0ndez/,,
11085,_____  /Gome/,Cde Gome,
11086,Fronilda  /Gome/,,1009,,
11087,Sancho  /Sanchez/,,
11088,Sancho  /Fernandez/,,
11089,Raimundo II /de Riborgaza/,Cde de Riborgaza,
11090,Gersenda  /de Fezensac/,,
11091,Ava  /de Riborgaza/,,
11092,Sancho  /de Castile/,,1017,,Cde de Castile
11093,Salvador Perez /de Castile/,Cde,
11094,Urraca  /_____/,,1025,,
11095,Fernando  /Sanchez/,,
11096,Garcia II /de Castile/,1010,1029,1017,Cde de Castile
11097,Trigida  /de Castile/,Abbess of San Salvador,
11098,Sancha  /Sanchez/,,1026,,
11099,Gonzalo Garcia /de Castile/,,
11100,Mayor Garcia /de Castile/,,
11101,Urraca Garcez /de Castile/,,1039,,Sna de Inf de Covarrubias
11102,Toda Garcez /de Castile/,,1031,,
11103,Oneca Garces /de Castile/,1045,Abbess of San Salvador,
11104,Raimundo III /de Pailhars/,Cde de Pailhars,
11105,Diego  /de Liebana/,Cde de Liebana,
11106,Nuno Fernandez /de Castile/,Priest,
11107,Munia  /Fernandez/,,
11108,Fronilda  /Fernandez/,,1014,,
11109,Rodanio de Asturias/de Santillana/,Cde,
11110,Pedro Fernandez /de Castile/,,
11111,Toda Fernandez /de Castile/,,
11112,Fernando Perez /de Castile/,,
11113,Gonzalo Salvadores /de Bureba/,,
11114,Gonzalo Perez /de Castile/,,
11115,Rodrigo Perez /de Castile/,,
11116,Ramiro Gonzalez /de Castile/,,
11117,Nunio Fernandez /de Amaya/,Cde de Castile,
11119,Fernando  /Ansurez/,Cde de Castile,
11120,Centulio  /Aznar/,,
11121,Guldregut  /_____/,,
11122,Oneca of Pamplona/_____/,,
11123,Sancha  /Garcez/,,
11124,Garcia I of Gascony/_____/,Duke of Gascony,
11125,Aimena  /de Perigord/,,
11126,Acibella of Gascony/_____/,,
11127,Redemptus  /Galindez/,Bishop,
11128,Miron  /de Aragon/,,
11129,Toda  /de Aragon/,,
11130,Bernardo I /de Ribagorza/,Cde de Ribagorza,
11131,Velasquita  /Galindez/,,
11132,Inigo Lopez /de Estigi/,,
11133,Garcia Aznar /de Aragon/,,
11134,Urraca Anzarez /de Aragon/,,
11135,Sancha Anzarez /de Aragon/,,
11136,Muhammad Ali /Tawill/,King of Huesca,
11137,Garcia  /de Aragon/,Cde de Aragon,
11138,Matrona  /Galindez/,,
11139,Musa Ibn /Firtun/,,
11140,_____  /_____/,,
11141,Jimino  /_____/,,
11142,I\xA4igo  /Jimenez/,,
11143,Assona  /Iniguez/,,
11144,Musa Ibn Musa Ibn/Qasi/,Governor of Saragossa,
11145,Oneca  /_____/,,
11146,Uracca  /_____/,,
11147,Aurea  /_____/,,
11148,Inigo  /Fortunez/,,
11149,Fortun Iniquez /de Pamplona/,,
11150,Oria Iniguez /de Pamplona/,,
11151,Lupa Iniquez /de Pamplona/,,
11152,Munio  /Garces/,,
11153,Sancho Lopez /de Araquil/,,
11154,Aznar Fortun /de Pamplona/,,
11155,Fortun Aznar /de Pamplona/,,
11156,Garcia Fortun /de Cabanas/,,
11157,Blasco Fortun /de Pamplona/,,
11158,Jimena  /de Pamplona/,,
11159,Toda  /de Pamplona/,,
11160,Sancha  /de Pamplona/,,
11161,Inigo Mardonnes /de Lucientes/,,
11162,Galindo Jimenez /de Pintano/,,
11163,Lope Fortun /de Pamplona/,,
11164,Oneca  /Fortunez/,,
11165,`Abd  /Allah/,Emir of Cordoba,
11166,Aznar Sanchez /de Larraun/,,
11167,Sancho Garces /de Pamplona/,,
11168,Sancho  /Aznarez/,,
11169,Toda  /Aznarez/,,
11170,Sancha  /Aznarez/,,
11171,Velasquita  /Garces/,,
11172,Mutarif Ibn /Musa/,,
11173,Galindo Iniguez /de Pamplona/,,
11174,Musa Ibn /Galind/,,
11175,Daughter  /Iniguez/,,
11176,Garcia  /de Aragon/,,
11177,Fortun Inquez /de Pamplona/,,
11178,Garcia  /Jimenez/,,
11179,Jimena  /Garcia/,,
11180,_____  /_____/,,
11181,Raimundo I /de Pailhars/,Cte de Pailhars,
11182,Dadildis  /de Pailhars/,,
11183,Oneca Rebelle /de Sanguesa/,,
11184,Inigo  /Garces/,King,
11185,Fortun  /de Pamplona/,,
11186,Sancho  /de Pamplona/,,
11187,Garcia  /de Pamplona/,,
11188,Jimeno  /de Pamplona/,,
11189,Toda  /de Pamplona/,,
11190,Lope Ibn /Muhammad/,,
11191,Daughter  /_____/,,
11192,Daughter  /_____/,,
11193,Daughter  /_____/,,
11194,Garcia Iniguez /de Olza/,,
11195,Sancha  /de Aybar/,,
11196,Bernardo  /de Navarre/,,1024,,
11197,Garcia  /de Navarre/,,
11198,Elvira  /de Navarre/,,
11199,Ramiro  /de Navarre/,,
11200,Gonzalo  /de Navarre/,,
11201,"Abda ""la Vascona""/de Navarre/",,
11202,Ramiro of Viguera/Garces/,King of Viguera,
11203,Sancho of Viguera/Ramirez/,King of Viguera,
11204,Lope Sanchez /de Loarre/,sn de Loarre,
11205,Garcia of Viguera/Ramirez/,King of Viguera,
11206,Toda  /_____/,,
11207,Toda  /Garces/,,
11208,Fronilda Garces /de Viguera/,,
11209,Fortun Sanchez /de Najera/,sn de Najera,
11210,Guillaume I of Gascony/_____/,Duke of Gascony,
11211,Velasquita  /Sanchez/,,
11212,Orbita  /de Navarre/,,
11213,Munio  /de Alava/,Cde de Alava,
11214,Galindo I /de Pailhars/,Cde de Pailhars,
11215,Fortun  /Galindez/,,
11216,Lupa  /Sanchez/,,
11217,Dato II /de Bigorre/,Cte de Bigorre,
11218,Garcia Jimenez /de Pamplona/,,
11219,Sancho Jimenez /de Pamplona/,,
11220,Dadildis Jimenez /de Pamplona/,,
11221,Garcia  /de Bailo/,Cde de Bailo,
11222,Quixilo  /de Bailo/,,
11223,Musa Ibn /Aznar/,,
11224,Vela  /Jimenez/,Cde de Alava,
11225,Casius of Meark/_____/,Count of Upper Meark,
11226,Fortun  /Casiusez/,Muwalladun,
11227,Maria Gonsalez /Giron/,,
11228,Guillen Prez /de Guzman/,,
11229,Muhammad  /_____/,,
11230,`Abd al-Rahman III/al-Nasir/,Emir of C\xA2rdoba,
11231,al-Hakam II /al-Mustansir/,Caliph of C\xA2rdoba,
11232,Ubayd Allah /_____/,,
11233,`Abd al-Jabbar /_____/,,
11234,`Abd al-Malik /_____/,,
11235,Sulayman  /_____/,,
11236,Mawiyah  /_____/,,
11237,Gonsalo  /Gustaves/,Lord of Salas & Lara,
11238,Nu\xA4o  /Gonsalez/,,
11239,Gonsalo  /Nu\xA4nez/,,
11240,Nu\xA4o  /Gonsalez/,,
11241,Gonsalo  /Nu\xA4ez/,,
11242,Cain  //,Farmer,
11243,Abel  //,Shepherd,
11244,Enoch  //,,
11245,Irad  //,,
11246,Mehujael  //,,
11247,Methusael  //,,
11248,Lamech  //,,
11249,Adah  //,,
11250,Zillah  //,,
11251,Jabal  //,Bedoin,
11252,Jubal  //,Musician,
11253,Tubal-Cain  //,Smith,
11254,Naamah  //,,
11255,Elam  //,,
11256,Asshur  //,,
11257,Arphaxad (Arfakhshadh) //,,
11258,Lud  //,,
11259,Aram  //,,
11260,Salah (Shalikh) //,,
11261,Eber (`Aybar) //,,
11262,`Abin  //,,
11263,Pelag (Falikh) //,,
11264,Reu (Ra'u) //,,
11265,Serug (Saragh) //,,
11266,Nahor (Nahur) //,,
11267,Terah (Tarih) //,,
11268,Maria  //,,
11269,Abraham (Ibrahim) //,,
11270,Nahor  //,,
11271,Haran  //,,
11272,Lot  //,,
11273,Iscah  //,,
11274,Milcah  //,,
11275,Sarai  //,,
11276,Hagar  //,,
11277,Ishmael (Isma`il) //,2000,,
11278,Qahtan  //,,
11279,Jurham  //,,
11280,Mudad  //,,
11281,Ra'la  //,,
11282,Nabit  //,,
11283,Yashjub  //,,
11284,Ya`rub  //,,
11285,Tayrah  //,,
11286,Nahur  //,,
11287,Mugawwam  //,,
11288,Udad  //,,
11289,`Adnan  //,,
11290,Ma'add  //,,
11291,Nizar  //,,
11292,Mudar  //,,
11293,Ilyas  //,,
11294,Mudrika  /`Amir/,,
11295,Khuzayma  //,,
11296,Kinama  //,,
11297,al-Nadr  //,,
11298,Malik  //,,
11299,Fihr  //,,
11300,Ghalib  //,,
11301,Lu'ayy  //,,
11302,Ka'b  //,,
11303,Murra  //,,
11304,Kilab  //,,
11305,"Qusayy (Zayd) ""Mujammi""//",Governor of Mecca,
11306,Hobba  //,,
11307,`Abd  /al-Uzza/,,
11308,`Abd  /Man\x83f/,,
11309,Asad  //,,
11310,Khuwailid  //,,
11311,Khadijah  //,,
11312,H\x83shim  /`Amr/,,
11313,`Abd  /Shams/,,
11314,Umayyah  //,,
11315,`Abu  /al-As/,,
11316,al-Hakim  //,,
11317,Marwan I /ben al-Hakam/,Caliph at Damascus,
11318,`Abd  /al-Malik/,Caliph of Damascus,
11319,Son  //,,
11320,Son  //,,
11321,Ma`awiya I /ben Abi-Sufyan/,Caliph of Damascus,
11322,Yazid I //,Caliph of Damascus,
11323,Mu`awiya II //,Caliph of Damascus,
11324,Yazid II //,Caliph of Damascus,
11325,Hisham I //,Caliph at Damascus,
11326,Al-Walid I //,Caliph of Damascus,
11327,Suleyman  //,Caliph of Damascus,
11328,`Abd-al-`Aziz  //,Governor of al-Andulus 1,
11329,`Umar II /ben `Abd-al-`Aziz/,Caliph of Damascus,
11330,Al-Walid II //,Caliph,
11331,Yazid III //,Caliph of Damascus,
11332,Ibrahim  //,Caliph of Damascus,
11333,Son  //,,
11334,Marwan II /al-Himar/,Caliph of Damascus,
11335,Mu`awiya  //,,
11336,Raha  //,Berber,
11337,`Abd-ar-Rahman I /ad-Dakhil/,Emir of Cordoba,
11338,Khazraf  //,,
11339,Hisham I //,Emir of Cordoba,
11340,al-Hakam I //,Emir of Cordoba,
11341,Halawah  //,,
11342,`Abd-ar-Rahman II /al-Mutawassit/,Emir of Cordoba,
11343,Muhammad I //,Emir of Cordova,
11344,Al-Mundhir  //,Emir of Cordoba,
11345,Ishar  //,,
11346,`Abd al-Muttalib (Sh\x88ba al-Hamd)//,,
11347,`Abd Allah ben `Abd/al-Muttalib/,,
11348,Abu  /Talib/,,
11349,Ali ben Abu/Talib/,Caliph,
11350,Fatima (Salma) bint `Amir of Ben/Makhzum/,,
11351,Amina bint /Wahb/,,
11352,Atika of the Bani Cays Ayl\x83n//,,
11353,al-Muttalib  //,,
11354,Naufal  //,,
11355,Holeil of the Khoz\x83ite//,King of the Khoz\x83ite,
11356,`Abd  /ed-Dar/,,
11357,`Abd  /al-Cossai/,,
11358,Zohra  //,Poet,
11359,_____  /_____/,,
11360,Riz\x83h  //,,
11361,`Abd  /Shams/,,
11362,Omeya  //,,
11363,Harb  //,,
11364,`Abu  /Sufyan/,,
11365,Mu\x83wia  //,,
11366,Zobeir  //,,
11367,H\x83rith  //,,
11368,Abu Lahab (`Abd al-`Uzzo, Abu `Utba)//,,
11369,al-Abbas ben `Abd/al-Muttalib/,,
11370,Hamza  //,,
11371,Jafar  //,,
11372,Muhammad  //,The Prophet,
11373,Fatimah  //,,
11374,al-Hasan  //,,
11375,al-Husain  //,,
11376,Mohsin  //,,
11377,Umn  /al-Kultum/,,
11378,Umm  /al-Kulthum/,,
11379,Raquia  //,,
11380,Zaynab  /Kobra/,,
11381,Khadija  //,,
11382,Zh\x83dah  /K\x83nd\x83ria/,,
11383,Abdallah  //,,
11384,Qasim  //,,
11385,Hasan  //,,
11386,Zaid  //,,
11387,Umar  //,,
11388,Abdallah  //,,
11389,Abderrahman  //,,
11390,Ahmed  //,,
11391,Ismail  //,,
11392,Husain  //,,
11393,Raquiya  //,,
11394,Ali Zain al-Abbidin/Asrar/,,
11395,Ali Zain al-Abbidin/Akhbar/,,
11396,Jafar  //,,
11397,Abdallah  //,,
11398,S\x83kina  //,,
11399,Fatima  //,,
11400,Zohra  //,,
11401,Qabus  //,,
11402,`Abu  /Abed/,,
11403,`Abu  /F\x83risi/,,
11404,Na'im  /al-Lakhmi/,,
11405,Na'im  /al-Lakhmi/,,
11406,Itaf  //,,
11407,Amr  //,,
11408,Aslan  //,,
11409,Amr  //,,
11410,Abbad  //,,
11411,Qarais  //,,
11412,Muhammad  /al-Bakir/,,
11413,Zaid  //,,
11414,`Umar  //,,
11415,Husain  //,,
11416,`Ubayd  /Allah/,,
11417,Yahya  //,,
11418,Idris  //,,
11419,Dja`far  /al-Sadik/,,
11420,Isma`il  //,,
11421,`Abd  /Allah/,,
11422,Musa  /al-Kazim/,,
11423,Ishak  //,,
11424,Muhammad  /al-Dibadj/,,
11425,Muhammad  //,,
11426,`Ali  /al-Rida/,,
11427,Ahmad  //,,
11428,Muhammad  /al-Djawad/,,
11429,`Ali  /al-Hadi/,,
11430,Musa  //,,
11431,Muhammad  //,,
11432,Hasan  /al-`Askari/,,
11433,Dja`far  //,,
11434,Muhammad  /al-Mahdi/,,
11435,Hasan  //,,
11436,Yahya  //,,
11437,Muhammad  //,,
11438,`Abdallah  //,,
11439,Da'ud  //,,
11440,Ibrahim  //,,
11441,Dja`far  //,,
11442,Muhammad  //,,
11443,Hasan  //,,
11444,`Ali  //,,
11445,Husayn Sahib /Fakhkh/,,
11446,Sulayman  //,,
11447,Isma`il  //,,
11448,Hasan  //,,
11449,`Ali  //,,
11450,Ibrahim  /Tabataba/,,
11451,Hasan  //,,
11452,Muhammad  //,,
11453,Kasim  /al-Rassi/,,
11454,Dja`far  //,,
11455,Muhammad  //,,
11456,Musa  //,,
11457,Yahya  //,,
11458,Ibrahim  //,,
11459,Idris I //,Emir of Morocco,
11460,`Isa  //,,
11461,Sulayman  //,,
11462,`Ali  //,,
11463,Ibrahim  //,,
11464,`Abd  /Allah/,,
11465,Musa  //,,
11466,Salih  //,,
11467,Sulayman  //,,
11468,Yusuf  //,,
11469,Husayn  /al-Ukhaydir/,,
11470,Banu  /al-Ukhaydir/,,
11471,al-Hanafiyya  //,,
11472,Muhammad ben /al-Hanafiyya/,,
11473,Abu  /Hashim/,,
11474,`Ali  //,,
11475,Hasan  //,,
11476,`Ali  //,,
11477,Hasan  //,,
11478,Habashiva  //,,
11479,Amr  //,King of al-Hira 1st,
11480,Imrulcays  //,,
11481,Amr  //,,
11482,Numan  //,,
11483,Imrulcays  //,,
11484,Mundhir  //,,
11485,Mundhir  //,,
11486,Mundhir  //,,
11487,Mundhir  //,,
11488,Aswad  //,,
11489,Numan  //,,
11490,Numan  //,,
11491,Mundhir  //,,
11492,Kaht\x83n  //,,
11493,Yarab  //,,
11494,Yashjob  //,,
11495,`Abd Shams Saba the Great//,,
11496,Kahlan  //,,
11497,Zayd  //,,
11498,Yashjub  //,,
11499,Arib  //,,
11500,Amr  //,,
11501,Humaysa  //,,
11502,Zayd  //,,
11503,Udad  //,,
11504,Murra  //,,
11505,Harith  //,,
11506,Adiy  //,,
11507,Lakhm  //,,
11508,Nomara  //,,
11509,Aman  //,,
11510,Malik  //,,
11511,Masud  //,,
11512,Harith  //,,
11513,Amr  //,,
11514,Rabia  //,,
11515,Nasr  //,,
11516,Adi  //,,
11517,Ric\x83ch  //,,
11518,Azd  //,,
11519,Nasr  //,,
11520,Malik  //,,
11521,Kab  //,,
11522,Zohran  //,,
11523,Abdallah  //,,
11524,Olth\x85n  //,,
11525,Dous  //,,
11526,Ghoumm  //,,
11527,Fahm the Azdite//,,
11528,Malik  //,,
11529,Djodhayma  //,,
11530,`Abd  /Allah/,,
11531,`Ali  //,,
11532,Muhammad  //,,
11533,Abu al-`Abbas /al-Saffah/,Caliph of Baghdad,
11534,`Abd  /Allah/,,
11535,`Isa  //,,
11536,Sulayman  //,,
11537,Ibrahim  //,,
11538,al-Mansur  //,Caliph of Baghdad,
11539,`A'isha  //,,
11540,Abu-Bakr  //,Caliph,
11541,`Umar ben /al-Khattab/,Caliph,
11542,Hafsa bint /`Umar/,,
11543,Rukaiya bint /Muhammad/,,
11544,`Uthman ben /`Affan/,Caliph,
11545,al-Mahdi  //,Caliph of Baghdad,
11546,al-Hadi  //,Caliph of Baghdad,
11547,Harun  /al-Rashid/,Caliph of Baghdad,
11548,al-Mansur  //,,
11549,Ibrahim  //,,
11550,al-Amin  //,Caliph of Baghdad,
11551,al-Ma'mun  //,Caliph of Baghdad,
11552,al-Mu`tasim  //,Caliph of Baghdad,
11553,Muhammad  //,,
11554,al-Wathik  //,Caliph of Baghdad,
11555,al-Mutawakkil  //,Calip of Baghdad,
11556,al-Musta`in  //,Caliph of Baghdad,
11557,al-Muhtadi  //,Caliph of Baghdad,
11558,al-Muntasir  //,Caliph of Baghdad,
11559,al-Mu`tazz  //,Caliph of Baghdad,
11560,al-Mu`tamid  //,Caliph of Baghdad,
11561,al-Muwaffak  //,,
11562,al-Mu`tadid  //,Caliph of Baghdad,
11563,Ibn  /al-Mu`tazz/,,
11564,al-Muktafi  //,Caliph of Baghdad,
11565,al-Muktadir  //,Caliph of Baghdad,
11566,al-Kahir  //,Caliph of Baghdad,
11567,al-Mustakfi  //,Caliph of Baghdad,
11568,al-Radi  //,Caliph of Baghdad,
11569,al-Muttaki  //,Caliph of Baghdad,
11570,al-Muti`  //,Caliph of Baghdad,
11571,al-Ta'i`  //,,1003,,Caliph of Baghdad
11572,al-Kadir  //,,1031,,Caliph of Baghdad
11573,al-Ka'im  //,,1075,,1031,Caliph of Baghdad
11574,Muhammad Dhakhirat /al-Din/,,
11575,al-Muktadi  //,,1094,,1075,Caliph of Baghdad
11576,al-Mustazhir  //,,1118,,1094,Caliph of Baghdad
11577,al-Mustarshid  //,,1135,,1118,Caliph of Baghdad
11578,al-Muktafi  //,,1160,,1136,Caliph of Baghdad
11579,al-Rashid  //,,1138,,1135,Caliph of Baghdad
11580,al-Mustandjid  //,,1170,,1160,Caliph of Baghdad
11581,al-Mustadi`  //,,1180,,1170,Caliph of Baghdad
11582,al-Nasir  //,,1225,,1180,Caliph of Baghdad
11583,al-Zahir  //,,1226,,1225,Caliph of Baghdad
11584,al-Mustansir  //,,1242,,1226,Caliph of Baghdad
11585,al-Mustansir  //,,1261,,1261,Caliph in Egypt 1st
11586,al-Musta`sim  //,,1258,,1242,Caliph of Baghdad
