War Num (Hard),War Names (Wright War Name Listed First If Available),State 1 Name,State 1 ID,State 2 Name,State 2 ID,Year,Month of Beginning,Month of Ending,Wright's aggressor,Wright's aggressor 2,Wright's aggressor 3,Wright's aggressor 4,Wright's aggressor 5,Wright's aggressor 6,Wright's type [(B)alance of Power; <C>ivil; (D)efensive; (I)mperial ],Wright's # of battles,HRE_Fractured,GC_Fractured,NGC_Fractured,Spanish_Alliance_Fractured,Austrian_Alliance_Fractured ,"Dyad is Wright Unmodified [1 means it does not, 1-D means it does not (but other potential Wright dyads were deleted); 1-M means that one of the participatns was listed by Wright as being in the war, but a minor state not covered by Wright was added; and M means the war or war phase was missed by Wright; 1-S means the dyad is in Wright, but sides in the conflict differ from his text due to a country changing sides or a clear error. Compound wars are too complex to code solely using Wright. ]",Wright Modification,Citation,Note
4,"1st War Against Charles the 5th/ Italian War between Charles 5 and Francis 1, First",France,304,HRE,379,1521,,,304,,,,,,B,2,,,,,,1,,"War, P. 613-614","War, P. 613-614, has the English participating as well, so does Levy. We defer to Wright however."
4,"1st War Against Charles the 5th/ Italian War between Charles 5 and Francis 1, First",France,304,Spain -- Crown of Aragon,375,1521,,,304,,,,,,B,2,,,,,,1,,"War, P. 613-614","War, P. 613-614, has the English participating as well, so does Levy. We defer to Wright however."
4,"1st War Against Charles the 5th/ Italian War between Charles 5 and Francis 1, First",France,304,HRE,379,1522,,,304,,,,,,B,2,,,,,,1,,"War, P. 613-614","War, P. 613-614, has the English participating as well, so does Levy. We defer to Wright however."
4,"1st War Against Charles the 5th/ Italian War between Charles 5 and Francis 1, First",France,304,Spain -- Crown of Aragon,375,1522,,,304,,,,,,B,2,,,,,,1,,"War, P. 613-614","War, P. 613-614, has the English participating as well, so does Levy. We defer to Wright however."
4,"1st War Against Charles the 5th/ Italian War between Charles 5 and Francis 1, First",France,304,HRE,379,1523,,,304,,,,,,B,2,,,,,,1,,"War, P. 613-614","War, P. 613-614, has the English participating as well, so does Levy. We defer to Wright however."
4,"1st War Against Charles the 5th/ Italian War between Charles 5 and Francis 1, First",France,304,Spain -- Crown of Aragon,375,1523,,,304,,,,,,B,2,,,,,,1,,"War, P. 613-614","War, P. 613-614, has the English participating as well, so does Levy. We defer to Wright however."
4,"1st War Against Charles the 5th/ Italian War between Charles 5 and Francis 1, First",France,304,HRE,379,1524,,,304,,,,,,B,2,,,,,,1,,"War, P. 613-614","War, P. 613-614, has the English participating as well, so does Levy. We defer to Wright however."
4,"1st War Against Charles the 5th/ Italian War between Charles 5 and Francis 1, First",France,304,Spain -- Crown of Aragon,375,1524,,,304,,,,,,B,2,,,,,,1,,"War, P. 613-614","War, P. 613-614, has the English participating as well, so does Levy. We defer to Wright however."
4,"1st War Against Charles the 5th/ Italian War between Charles 5 and Francis 1, First",France,304,HRE,379,1525,,,304,,,,,,B,2,,,,,,1,,"War, P. 613-614","War, P. 613-614, has the English participating as well, so does Levy. We defer to Wright however."
4,"1st War Against Charles the 5th/ Italian War between Charles 5 and Francis 1, First",France,304,Spain -- Crown of Aragon,375,1525,,,304,,,,,,B,2,,,,,,1,,"War, P. 613-614","War, P. 613-614, has the English participating as well, so does Levy. We defer to Wright however."
4,"1st War Against Charles the 5th/ Italian War between Charles 5 and Francis 1, First",France,304,HRE,379,1526,,,304,,,,,,B,2,,,,,,1,,"War, P. 613-614","War, P. 613-614, has the English participating as well, so does Levy. We defer to Wright however."
4,"1st War Against Charles the 5th/ Italian War between Charles 5 and Francis 1, First",France,304,Spain -- Crown of Aragon,375,1526,,,304,,,,,,B,2,,,,,,1,,"War, P. 613-614","War, P. 613-614, has the English participating as well, so does Levy. We defer to Wright however."
5,2nd Balkan War,Principality of Bulgaria/Kingdom of Bulgaria,248,Principality of Serbia/Kingdom of Serbia,220,1913,,8,220,240,,82,,,B,6,,,,,,1,,"War 166, Langer 802",
5,2nd Balkan War,Principality of Bulgaria/Kingdom of Bulgaria,248,Kingdom of Greece,240,1913,,8,220,240,,82,,,B,6,,,,,,1,,"War 166, Langer 802",
5,2nd Balkan War,Principality of Bulgaria/Kingdom of Bulgaria,248,Kingdom of Romania/United Principalities/Kingdom of Romania/Moldavia,82,1913,,8,220,240,,82,,,B,6,,,,,,1,,"War 166, Langer 802",
6,2nd Opium War,France,304,China,888,1856,,,304,177,,,,,B,,,,,,,1,,War P.838,
6,2nd Opium War,Britain,177,China,888,1856,,,304,177,,,,,B,,,,,,,1,,War P.838,
6,2nd Opium War,France,304,China,888,1857,,,304,177,,,,,B,,,,,,,1,,War P.838,
6,2nd Opium War,Britain,177,China,888,1857,,,304,177,,,,,B,,,,,,,1,,War P.838,
6,2nd Opium War,France,304,China,888,1858,,,304,177,,,,,B,,,,,,,1,,War P.838,
6,2nd Opium War,Britain,177,China,888,1858,,,304,177,,,,,B,,,,,,,1,,War P.838,
6,2nd Opium War,France,304,China,888,1859,,,304,177,,,,,B,,,,,,,1,,War P.838,
6,2nd Opium War,Britain,177,China,888,1859,,,304,177,,,,,B,,,,,,,1,,War P.838,
6,2nd Opium War,France,304,China,888,1860,,6,304,177,,,,,B,,,,,,,1,,War P.838,
6,2nd Opium War,Britain,177,China,888,1860,,6,304,177,,,,,B,,,,,,,1,,War P.838,
7,"3rd War Against Charles the Fifth/ Italian War between Charles V and
Francis I, Third (1535–1538)",Holy Roman Empire ,379,France,304,1536,,,304,,,,,,B,1,,,,,,1,,"War, p. 615; Langer p. 429",
7,"3rd War Against Charles the Fifth/ Italian War between Charles V and
Francis I, Third (1535–1538)",Spain -- Crown of Aragon,375,France,304,1536,,,304,,,,,,B,1,,,,,,1,,"War, p. 615; Langer p. 429",
7,"3rd War Against Charles the Fifth/ Italian War between Charles V and
Francis I, Third (1535–1538)",Holy Roman Empire ,379,France,304,1537,,,304,,,,,,B,1,,,,,,1,,"War, p. 615; Langer p. 429",
7,"3rd War Against Charles the Fifth/ Italian War between Charles V and
Francis I, Third (1535–1538)",Spain -- Crown of Aragon,375,France,304,1537,,,304,,,,,,B,1,,,,,,1,,"War, p. 615; Langer p. 429",
7,"3rd War Against Charles the Fifth/ Italian War between Charles V and
Francis I, Third (1535–1538)",Holy Roman Empire ,379,France,304,1538,,6,304,,,,,,B,1,,,,,,1,,"War, p. 615; Langer p. 429",
7,"3rd War Against Charles the Fifth/ Italian War between Charles V and
Francis I, Third (1535–1538)",Spain -- Crown of Aragon,375,France,304,1538,,6,304,,,,,,B,1,,,,,,1,,"War, p. 615; Langer p. 429",
8,4th War Against Charles the Vth/ Fourth Italian War between Charles V and Francis I,HRE,379,Kingdom of France,304,1542,,,304,,,,,,B,2,,,,,,1,,War P. 615,
8,4th War Against Charles the Vth/ Fourth Italian War between Charles V and Francis I,Spain -- Habsburg Spain,375,Kingdom of France,304,1542,,,304,,,,,,B,2,,,,,,1,,War P. 615,
8,4th War Against Charles the Vth/ Fourth Italian War between Charles V and Francis I,HRE,379,Kingdom of France,304,1543,,,304,,,,,,B,2,,,,,,1,,War P. 615,
8,4th War Against Charles the Vth/ Fourth Italian War between Charles V and Francis I,Spain -- Habsburg Spain,375,Kingdom of France,304,1543,,,304,,,,,,B,2,,,,,,1,,War P. 615,
8,4th War Against Charles the Vth/ Fourth Italian War between Charles V and Francis I,HRE,379,Kingdom of France,304,1544,,9,304,,,,,,B,2,,,,,,1,,War P. 615,
8,4th War Against Charles the Vth/ Fourth Italian War between Charles V and Francis I,Spain -- Habsburg Spain,375,Kingdom of France,304,1544,,9,304,,,,,,B,2,,,,,,1,,War P. 615,
9,5th War Against Charles the 5th/ War between Charles V and Henry II/ Hapsburg-Valois War,Holy Roman Empire,379,France,304,1552,,,304,56,,,,,B,3,1,,,,,1-D,"Removed 11 Saxony Dyads; Saxony Dropped out of the War after Peace of Augsburg in 1555. Wright doesn't consistently document countries dropping out of wars early, so we deviate from a naïve coding. ",War P.559; Langer P.430 -460  ,
9,5th War Against Charles the 5th/ War between Charles V and Henry II/ Hapsburg-Valois War,Spain -- Habsburg Spain,375,Saxony,56,1552,,,304,56,,,,,B,3,1,,,,,1-D,"Removed 11 Saxony Dyads; Saxony Dropped out of the War after Peace of Augsburg in 1555. Wright doesn't consistently document countries dropping out of wars early, so we deviate from a naïve coding. ",War P.559; Langer P.430 -460  ,
9,5th War Against Charles the 5th/ War between Charles V and Henry II/ Hapsburg-Valois War,Spain -- Habsburg Spain,375,France,304,1552,,,304,56,,,,,B,3,1,,,,,1-D,"Removed 11 Saxony Dyads; Saxony Dropped out of the War after Peace of Augsburg in 1555. Wright doesn't consistently document countries dropping out of wars early, so we deviate from a naïve coding. ",War P.559; Langer P.430 -460,
9,5th War Against Charles the 5th/ War between Charles V and Henry II/ Hapsburg-Valois War,Holy Roman Empire,379,Saxony,56,1552,,,304,56,,,,,B,3,1,,,,,1-D,"Removed 11 Saxony Dyads; Saxony Dropped out of the War after Peace of Augsburg in 1555. Wright doesn't consistently document countries dropping out of wars early, so we deviate from a naïve coding. ",War P.559; Langer P.430 -460,
9,5th War Against Charles the 5th/ War between Charles V and Henry II/ Hapsburg-Valois War,Archduchy of Austria/Habsburg Empire,216,France,304,1552,,,304,56,,,,,B,3,1,,,,,1-D,"Removed 11 Saxony Dyads; Saxony Dropped out of the War after Peace of Augsburg in 1555. Wright doesn't consistently document countries dropping out of wars early, so we deviate from a naïve coding. ",War P.559; Langer P.430 -460,
9,5th War Against Charles the 5th/ War between Charles V and Henry II/ Hapsburg-Valois War,Archduchy of Austria/Habsburg Empire,216,Saxony,56,1552,,,304,56,,,,,B,3,1,,,,,1-D,"Removed 11 Saxony Dyads; Saxony Dropped out of the War after Peace of Augsburg in 1555. Wright doesn't consistently document countries dropping out of wars early, so we deviate from a naïve coding. ",War P.559; Langer P.430 -460,
9,5th War Against Charles the 5th/ War between Charles V and Henry II/ Hapsburg-Valois War,Holy Roman Empire,379,France,304,1553,,,304,56,,,,,B,3,1,,,,,1-D,"Removed 11 Saxony Dyads; Saxony Dropped out of the War after Peace of Augsburg in 1555. Wright doesn't consistently document countries dropping out of wars early, so we deviate from a naïve coding. ",War P.559; Langer P.430 -460,
9,5th War Against Charles the 5th/ War between Charles V and Henry II/ Hapsburg-Valois War,Spain -- Habsburg Spain,375,Saxony,56,1553,,,304,56,,,,,B,3,1,,,,,1-D,"Removed 11 Saxony Dyads; Saxony Dropped out of the War after Peace of Augsburg in 1555. Wright doesn't consistently document countries dropping out of wars early, so we deviate from a naïve coding. ",War P.559; Langer P.430 -460,
9,5th War Against Charles the 5th/ War between Charles V and Henry II/ Hapsburg-Valois War,Spain -- Habsburg Spain,375,France,304,1553,,,304,56,,,,,B,3,1,,,,,1-D,"Removed 11 Saxony Dyads; Saxony Dropped out of the War after Peace of Augsburg in 1555. Wright doesn't consistently document countries dropping out of wars early, so we deviate from a naïve coding. ",War P.559; Langer P.430 -460,
9,5th War Against Charles the 5th/ War between Charles V and Henry II/ Hapsburg-Valois War,Holy Roman Empire,379,Saxony,56,1553,,,304,56,,,,,B,3,1,,,,,1-D,"Removed 11 Saxony Dyads; Saxony Dropped out of the War after Peace of Augsburg in 1555. Wright doesn't consistently document countries dropping out of wars early, so we deviate from a naïve coding. ",War P.559; Langer P.430 -460,
9,5th War Against Charles the 5th/ War between Charles V and Henry II/ Hapsburg-Valois War,Archduchy of Austria/Habsburg Empire,216,France,304,1553,,,304,56,,,,,B,3,1,,,,,1-D,"Removed 11 Saxony Dyads; Saxony Dropped out of the War after Peace of Augsburg in 1555. Wright doesn't consistently document countries dropping out of wars early, so we deviate from a naïve coding. ",War P.559; Langer P.430 -460,
9,5th War Against Charles the 5th/ War between Charles V and Henry II/ Hapsburg-Valois War,Archduchy of Austria/Habsburg Empire,216,Saxony,56,1553,,,304,56,,,,,B,3,1,,,,,1-D,"Removed 11 Saxony Dyads; Saxony Dropped out of the War after Peace of Augsburg in 1555. Wright doesn't consistently document countries dropping out of wars early, so we deviate from a naïve coding. ",War P.559; Langer P.430 -460,
9,5th War Against Charles the 5th/ War between Charles V and Henry II/ Hapsburg-Valois War,Holy Roman Empire,379,France,304,1554,,,304,56,,,,,B,3,1,,,,,1-D,"Removed 11 Saxony Dyads; Saxony Dropped out of the War after Peace of Augsburg in 1555. Wright doesn't consistently document countries dropping out of wars early, so we deviate from a naïve coding. ",War P.559; Langer P.430 -460,
9,5th War Against Charles the 5th/ War between Charles V and Henry II/ Hapsburg-Valois War,Spain -- Habsburg Spain,375,Saxony,56,1554,,,304,56,,,,,B,3,1,,,,,1-D,"Removed 11 Saxony Dyads; Saxony Dropped out of the War after Peace of Augsburg in 1555. Wright doesn't consistently document countries dropping out of wars early, so we deviate from a naïve coding. ",War P.559; Langer P.430 -460,
9,5th War Against Charles the 5th/ War between Charles V and Henry II/ Hapsburg-Valois War,Spain -- Habsburg Spain,375,France,304,1554,,,304,56,,,,,B,3,1,,,,,1-D,"Removed 11 Saxony Dyads; Saxony Dropped out of the War after Peace of Augsburg in 1555. Wright doesn't consistently document countries dropping out of wars early, so we deviate from a naïve coding. ",War P.559; Langer P.430 -460,
9,5th War Against Charles the 5th/ War between Charles V and Henry II/ Hapsburg-Valois War,Holy Roman Empire,379,Saxony,56,1554,,,304,56,,,,,B,3,1,,,,,1-D,"Removed 11 Saxony Dyads; Saxony Dropped out of the War after Peace of Augsburg in 1555. Wright doesn't consistently document countries dropping out of wars early, so we deviate from a naïve coding. ",War P.559; Langer P.430 -460,
9,5th War Against Charles the 5th/ War between Charles V and Henry II/ Hapsburg-Valois War,Archduchy of Austria/Habsburg Empire,216,France,304,1554,,,304,56,,,,,B,3,1,,,,,1-D,"Removed 11 Saxony Dyads; Saxony Dropped out of the War after Peace of Augsburg in 1555. Wright doesn't consistently document countries dropping out of wars early, so we deviate from a naïve coding. ",War P.559; Langer P.430 -460,
9,5th War Against Charles the 5th/ War between Charles V and Henry II/ Hapsburg-Valois War,Archduchy of Austria/Habsburg Empire,216,Saxony,56,1554,,,304,56,,,,,B,3,1,,,,,1-D,"Removed 11 Saxony Dyads; Saxony Dropped out of the War after Peace of Augsburg in 1555. Wright doesn't consistently document countries dropping out of wars early, so we deviate from a naïve coding. ",War P.559; Langer P.430 -460,
9,5th War Against Charles the 5th/ War between Charles V and Henry II/ Hapsburg-Valois War,Holy Roman Empire,379,France,304,1555,,,304,56,,,,,B,3,1,,,,,1-D,"Removed 11 Saxony Dyads; Saxony Dropped out of the War after Peace of Augsburg in 1555. Wright doesn't consistently document countries dropping out of wars early, so we deviate from a naïve coding. ",War P.559; Langer P.430 -460,
9,5th War Against Charles the 5th/ War between Charles V and Henry II/ Hapsburg-Valois War,Spain -- Habsburg Spain,375,Saxony,56,1555,,9,304,56,,,,,B,3,1,,,,,1-D,"Removed 11 Saxony Dyads; Saxony Dropped out of the War after Peace of Augsburg in 1555. Wright doesn't consistently document countries dropping out of wars early, so we deviate from a naïve coding. ",War P.559; Langer P.430 -460,
9,5th War Against Charles the 5th/ War between Charles V and Henry II/ Hapsburg-Valois War,Spain -- Habsburg Spain,375,France,304,1555,,,304,56,,,,,B,3,1,,,,,1-D,"Removed 11 Saxony Dyads; Saxony Dropped out of the War after Peace of Augsburg in 1555. Wright doesn't consistently document countries dropping out of wars early, so we deviate from a naïve coding. ",War P.559; Langer P.430 -460,
9,5th War Against Charles the 5th/ War between Charles V and Henry II/ Hapsburg-Valois War,Holy Roman Empire,379,Saxony,56,1555,,9,304,56,,,,,B,3,1,,,,,1-D,"Removed 11 Saxony Dyads; Saxony Dropped out of the War after Peace of Augsburg in 1555. Wright doesn't consistently document countries dropping out of wars early, so we deviate from a naïve coding. ",War P.559; Langer P.430 -460,
9,5th War Against Charles the 5th/ War between Charles V and Henry II/ Hapsburg-Valois War,Archduchy of Austria/Habsburg Empire,216,France,304,1555,,,304,56,,,,,B,3,1,,,,,1-D,"Removed 11 Saxony Dyads; Saxony Dropped out of the War after Peace of Augsburg in 1555. Wright doesn't consistently document countries dropping out of wars early, so we deviate from a naïve coding. ",War P.559; Langer P.430 -460,
9,5th War Against Charles the 5th/ War between Charles V and Henry II/ Hapsburg-Valois War,Archduchy of Austria/Habsburg Empire,216,Saxony,56,1555,,9,304,56,,,,,B,3,1,,,,,1-D,"Removed 11 Saxony Dyads; Saxony Dropped out of the War after Peace of Augsburg in 1555. Wright doesn't consistently document countries dropping out of wars early, so we deviate from a naïve coding. ",War P.559; Langer P.430 -460,
9,5th War Against Charles the 5th/ War between Charles V and Henry II/ Hapsburg-Valois War,Holy Roman Empire,379,France,304,1556,,,304,56,,,,,B,3,1,,,,,1-D,"Removed 11 Saxony Dyads; Saxony Dropped out of the War after Peace of Augsburg in 1555. Wright doesn't consistently document countries dropping out of wars early, so we deviate from a naïve coding. ",War P.559; Langer P.430 -460,
9,5th War Against Charles the 5th/ War between Charles V and Henry II/ Hapsburg-Valois War,Spain -- Habsburg Spain,375,France,304,1556,,,304,56,,,,,B,3,1,,,,,1-D,"Removed 11 Saxony Dyads; Saxony Dropped out of the War after Peace of Augsburg in 1555. Wright doesn't consistently document countries dropping out of wars early, so we deviate from a naïve coding. ",War P.559; Langer P.430 -460,
9,5th War Against Charles the 5th/ War between Charles V and Henry II/ Hapsburg-Valois War,Archduchy of Austria/Habsburg Empire,216,France,304,1556,,,304,56,,,,,B,3,1,,,,,1-D,"Removed 11 Saxony Dyads; Saxony Dropped out of the War after Peace of Augsburg in 1555. Wright doesn't consistently document countries dropping out of wars early, so we deviate from a naïve coding. ",War P.559; Langer P.430 -460,
9,5th War Against Charles the 5th/ War between Charles V and Henry II/ Hapsburg-Valois War,Holy Roman Empire,379,France,304,1557,,,304,56,,,,,B,3,1,,,,,1-D,"Removed 11 Saxony Dyads; Saxony Dropped out of the War after Peace of Augsburg in 1555. Wright doesn't consistently document countries dropping out of wars early, so we deviate from a naïve coding. ",War P.559; Langer P.430 -460,
9,5th War Against Charles the 5th/ War between Charles V and Henry II/ Hapsburg-Valois War,Spain -- Habsburg Spain,375,France,304,1557,,,304,56,,,,,B,3,1,,,,,1-D,"Removed 11 Saxony Dyads; Saxony Dropped out of the War after Peace of Augsburg in 1555. Wright doesn't consistently document countries dropping out of wars early, so we deviate from a naïve coding. ",War P.559; Langer P.430 -460,
9,5th War Against Charles the 5th/ War between Charles V and Henry II/ Hapsburg-Valois War,England ,177,France,304,1557,,,304,56,,,,,B,3,1,,,,,1-D,"Removed 11 Saxony Dyads; Saxony Dropped out of the War after Peace of Augsburg in 1555. Wright doesn't consistently document countries dropping out of wars early, so we deviate from a naïve coding. ",War P.559; Langer P.430 -460,
9,5th War Against Charles the 5th/ War between Charles V and Henry II/ Hapsburg-Valois War,Archduchy of Austria/Habsburg Empire,216,France,304,1557,,,304,56,,,,,B,3,1,,,,,1-D,"Removed 11 Saxony Dyads; Saxony Dropped out of the War after Peace of Augsburg in 1555. Wright doesn't consistently document countries dropping out of wars early, so we deviate from a naïve coding. ",War P.559; Langer P.430 -460,
9,5th War Against Charles the 5th/ War between Charles V and Henry II/ Hapsburg-Valois War,Holy Roman Empire,379,France,304,1558,,,304,56,,,,,B,3,1,,,,,1-D,"Removed 11 Saxony Dyads; Saxony Dropped out of the War after Peace of Augsburg in 1555. Wright doesn't consistently document countries dropping out of wars early, so we deviate from a naïve coding. ",War P.559; Langer P.430 -460,
9,5th War Against Charles the 5th/ War between Charles V and Henry II/ Hapsburg-Valois War,Spain -- Habsburg Spain,375,France,304,1558,,,304,56,,,,,B,3,1,,,,,1-D,"Removed 11 Saxony Dyads; Saxony Dropped out of the War after Peace of Augsburg in 1555. Wright doesn't consistently document countries dropping out of wars early, so we deviate from a naïve coding. ",War P.559; Langer P.430 -460,
9,5th War Against Charles the 5th/ War between Charles V and Henry II/ Hapsburg-Valois War,England ,177,France,304,1558,,,304,56,,,,,B,3,1,,,,,1-D,"Removed 11 Saxony Dyads; Saxony Dropped out of the War after Peace of Augsburg in 1555. Wright doesn't consistently document countries dropping out of wars early, so we deviate from a naïve coding. ",War P.559; Langer P.430 -460,
9,5th War Against Charles the 5th/ War between Charles V and Henry II/ Hapsburg-Valois War,Archduchy of Austria/Habsburg Empire,216,France,304,1558,,,304,56,,,,,B,3,1,,,,,1-D,"Removed 11 Saxony Dyads; Saxony Dropped out of the War after Peace of Augsburg in 1555. Wright doesn't consistently document countries dropping out of wars early, so we deviate from a naïve coding. ",War P.559; Langer P.430 -460,
9,5th War Against Charles the 5th/ War between Charles V and Henry II/ Hapsburg-Valois War,Holy Roman Empire,379,France,304,1559,,4,304,56,,,,,B,3,1,,,,,1-D,"Removed 11 Saxony Dyads; Saxony Dropped out of the War after Peace of Augsburg in 1555. Wright doesn't consistently document countries dropping out of wars early, so we deviate from a naïve coding. ",War P.559; Langer P.430 -460,
9,5th War Against Charles the 5th/ War between Charles V and Henry II/ Hapsburg-Valois War,Spain -- Habsburg Spain,375,France,304,1559,,4,304,56,,,,,B,3,1,,,,,1-D,"Removed 11 Saxony Dyads; Saxony Dropped out of the War after Peace of Augsburg in 1555. Wright doesn't consistently document countries dropping out of wars early, so we deviate from a naïve coding. ",War P.559; Langer P.430 -460,
9,5th War Against Charles the 5th/ War between Charles V and Henry II/ Hapsburg-Valois War,England ,177,France,304,1559,,4,304,56,,,,,B,3,1,,,,,1-D,"Removed 11 Saxony Dyads; Saxony Dropped out of the War after Peace of Augsburg in 1555. Wright doesn't consistently document countries dropping out of wars early, so we deviate from a naïve coding. ",War P.559; Langer P.430 -460,
9,5th War Against Charles the 5th/ War between Charles V and Henry II/ Hapsburg-Valois War,Archduchy of Austria/Habsburg Empire,216,France,304,1559,,4,304,56,,,,,B,3,1,,,,,1-D,"Removed 11 Saxony Dyads; Saxony Dropped out of the War after Peace of Augsburg in 1555. Wright doesn't consistently document countries dropping out of wars early, so we deviate from a naïve coding. ",War P.559; Langer P.430 -460,
10,Algiers Expedition/ 'Reverse of Spaniards at Algiers',Spain -- Habsburg Spain,375,North Africans,888,1541,,,375,,,,,,I,,,,,,,1,,Langer P. 416,
11,American Revolution,Britain,177,France,304,1778,,,66,304,375,,,,C,13,,,,,,1,,War (P. 37-68); Langer (P.476),
11,American Revolution,Britain,177,Spain,375,1779,,,66,304,375,,,,C,13,,,,,,1,,War (P. 37-68); Langer (P.476),
11,American Revolution,Britain,177,France,304,1779,,,66,304,375,,,,C,13,,,,,,1,,War (P. 37-68); Langer (P.476),
11,American Revolution,Britain,177,France,304,1779,,,66,304,375,,,,C,13,,,,,,1,,War (P. 37-68); Langer (P.476),
11,American Revolution,Britain,177,Netherlands,66,1780,,,66,304,375,,,,C,13,,,,,,1,,War (P. 37-68); Langer (P.476),
11,American Revolution,Britain,177,Spain,375,1780,,,66,304,375,,,,C,13,,,,,,1,,War (P. 37-68); Langer (P.476),
11,American Revolution,Britain,177,France,304,1780,,,66,304,375,,,,C,13,,,,,,1,,War (P. 37-68); Langer (P.476),
11,American Revolution,Britain,177,France,375,1780,,,66,304,375,,,,C,13,,,,,,1,,War (P. 37-68); Langer (P.476),
11,American Revolution,Britain,177,Netherlands,66,1781,,,66,304,375,,,,C,13,,,,,,1,,War (P. 37-68); Langer (P.476),
11,American Revolution,Britain,177,Spain,375,1781,,,66,304,375,,,,C,13,,,,,,1,,War (P. 37-68); Langer (P.476),
11,American Revolution,Britain,177,France,304,1781,,,66,304,375,,,,C,13,,,,,,1,,War (P. 37-68); Langer (P.476),
11,American Revolution,Britain,177,France,375,1781,,,66,304,375,,,,C,13,,,,,,1,,War (P. 37-68); Langer (P.476),
