id,name,year_birth,year_death,dinasty
743,Charles II Stuart,1630,1685,United Kingdom
951,Marie Louise /d'Orleans/,1662,1689,France
2882,Mary Anne Christine of Bavaria,1660,1690,Bavaria
2858,Ulrica Eleanor / Denmark - Oldenburg,1656,1693,Denmark
709,Mary II Stuart,1662,1694,United Kingdom
20259,Christian Albrecht / Holstein-Gottorp,1641,1695,Holstein-Gottorp
2416,Mariana of Austria/Habsburg/,1635,1696,Austria
2859,Charles XI / Sweden von Simmern,1655,1697,Sweden
1625,Christian V / Denmark Oldenburg,1646,1699,"Denmark, Norway"
18512,Maria Sophia / Palatinate Wittelsburg,1666,1699,Electoral Palatinate
2130,Charles II of Spain Habsburg,1661,1700,Spain
20261,Frederick IV /von Holstein-Gottorp/,1671,1702,Holstein-Gottorp
1174,Louise Dorothea / Hohenzollern,1680,1705,Prussia
2420,Leopold I Habsburg,1640,1705,Austria
771,Sophia Charlotte,1668,1705,Brunswick-Luneberg
692,George / Denmark / Oldenburg,1653,1708,Denmark
15046,Louis III of Bourbon/de CondÇ/,1668,1710,France
2423,Louis  /de France/,1661,1711,France
2507,Charles du Berry,1686,1714,France
2883,Mary Louise Gabrielle de Savole,1688,1714,"Italy, Sicily"
18480,Charlotte / Brunswick-Wolfenbettel,1694,1715,Brunswick-Luneberg
2422,Eleanor Magdalene of Neuburg Wittelsburg,1655,1720,Electoral Palatinate
15060,Marie Anna de Conti ,1689,1720,France
2517,Philippe Duc / Chartes d'Orleans,1674,1723,France
2431,Charles VI /Habsburg/,1685,1740,HRE
14273,Elizabeth  /de Lorraine,1711,1741,Austria
10378,Charles VII Albert of Bavaria,1697,1745,HRE
2424,Philip V of Spain/de Bourbon/,1683,1746,Spain
19483,Elizabeth / Brunswick-Wolfenbettel,1691,1750,Brunswick-Wolfenbuttel (Brunswick-Luneberg)
331,Louisa / Hanover,1724,1751,United Kingdom
343,Sophia Dorothea / Hanover,1687,1757,"United Kingdom, Hanover"
568,Augustus William / Hohenzollern,1722,1758,Prussia
23883,Maria Magdalena Joseph / Bragana,1711,1758,Portugal
324,Anne / Hanover,1709,1759,"United Kingdom, Hanover"
23762,Elizabeth de France ,1727,1759,France
2881,Mary Amalia Saxony/Wettin/,1724,1760,"Saxony, Poland"
11752,Federick Augustus II of Saxony (III of Poland) Wettin,1696,1763,Saxony
23763,Isabelle of Parma de Bourbon,1741,1763,Parma
11753,Frederick Christian / Saxony Wetting,1722,1763,Saxony
344,Frederick V /Denmark/Oldenburg,1723,1766,Denmark
340,Caroline Matilda / Hanover,1751,1775,United Kingdom
19494,Natalie Wilhemina / Hesse-Darmstadt,1755,1776,Hesse-Darmstadt
569,Louise Amelia of/Brunswick/,1722,1780,Brunswick-Luneberg (part of HRE)
18511,Maria Anne / Spain de Bourbon,1718,1781,Spain
1168,Louis Ulrika / Prussia / Hohenzollern,1720,1782,Prussia
18497,Mary / Spain de Bourbon,1729,1785,
30759,Frederick / Hesse-Cassel,1722,1787,Hesse-Kassel
1069,Augusta Caroline / Brunswick,1764,1788,Brunswick-Luneberg
23893,Gabriel Antonio Francis de Bragana,1752,1788,Spain
30767,Elizabeth Wilhelmine von Wurttemberg,1767,1790,Wurttemberg
18502,Maria Luisa / Spain de Bourbon,1745,1792,Spain
7235,Leopold II /Habsburg-Lotharingen/,1747,1792,HRE
1424,Louis XVI of France,1754,1793,France
553,Frederick William II / Hohenzollern,1744,1797,Prussia
19497,Alexandra Pavlovna /Romanov,1783,1801,Russia
31900,Louise de Bourbon,1773,1802,Two Sicilies
10209,Louis I of Parma/de Bourbon/,1773,1803,Etruria (associated with Parma)
18974,Caroline of Parma/de Bourbon,1770,1804,Parma
556,Frederica Louise / Hesse-Darmstadt,1751,1805,Hesse-Darmstadt
3770,Frederick Ferdinand /Hapsburg-Lotharingen/,1754,1806,
2875,Antonia of Sicily de Bourbon,1784,1806,Naples
18503,Maria Theresa of/Naples/,1772,1807,Kingdom of Two Sicilies
3874,Mary-Elizabeth / Padua Zhringen,1782,1808,Grand Duchy of Baden
764,Christian VII of Denmark/Oldenburg/,1749,1808,Denmark
410,Louise of /Mecklenburg-Strelitz/,1776,1810,Mecklenburg-Strelitz
1638,Sophia Magdalena /Oldenburg/,1746,1813,Denmark
31030,Clementina / AustriaHabsburg Lotharingen,1777,1814,
5335,JosÇphine de /Tascher/,1763,1814,France
247,Frederick I /Wurttenberg,1754,1816,Kingdom of Württemberg
576,Friedrich Wilhelm / Nassau-Weilburg,1768,1816,Luxembourg
31985,Marie Ludovika Hapsburg,1787,1816,Austria
144,Charlotte Augusta / Wales / Hannover,1796,1817,"United Kingdom, Hanover"
5910,Hanover Child (first name unknown),1818,1818,
2876,Isabella / Portugal Bragana,1797,1818,Portugal
2878,Charles IV / Spain de Bourbon,1748,1819,Spain
1075,Catherine / Russia Pavlovna Romanov,1788,1819,Russia
2510,Ferdinand Charles / Berry de Bourbon,1778,1820,France
1639,Wilhelmina Caroline / Oldenburg,1747,1820,Denmark
133,Edward Augustus/Hannover,1767,1820,United Kingdom
4885,Napoleon I Bonaparte,1769,1821,France
1736,William IX Hesse-Cassel,1743,1821,Hesse-Kassel
11715,Caroline / Hesse-Darmstadt,1746,1821,Hesse-Darmstadt
626,Catherine / Baden/Zhringen,1776,1823,
10204,Ferdinand III / Hapsburg-Lotharingen,1769,1824,Tuscany
23764,Marie Louise / Spain de Bourbon,1782,1824,Spain
3764,Victor Emmanuel / Sardiniade Savoy,1759,1824,Sardinia (Italy)
637,Maximillian I Joseph / Wittelsbach,1756,1825,Bavaria
1296,Alexander / Pavlovich / Romanov,1777,1825,Russia
18509,Leopoldine  /Habsburg-Lotharingen,1797,1826,Austria
3769,Marie Charlotte / Sardinia Savoy,1767,1827,Sardinia (Italy)
18973,Theresa / Hapsburg-Lotharingen,1767,1827,Austria
205,Ferdinand / Saxe-Coburg-Gotha,1785,1827,Saxe-Coburg Gotha (German Confed)
211,Frederick VI / Hessen-Homburg,1769,1829,Hesse-Homburg (Hesse-Darmstadt)
2877,Mary Josepha / Wettin,1803,1829,Saxony
10267,Francis I / Sicily de Bourbon,1777,1830,Kingdom of Two Sicilies
18510,Charlotte / Spain de Bourbon,1775,1830,Spain
1298,Konstantin Pavlovich /Romanov/,1779,1831,Russia
18975,Caroline / Hapsburg-Lotharingen,1801,1832,
1246,Ferdinand VII of Spain/de Bourbon/,1784,1833,Spain
10175,Pedro IV of Portugal/de Braganáa/,1798,1834,Portugal
1071,Catherine von Wurttemberg,1783,1835,Wurttemberg
7236,Francis II Hapsburg-Lotharingen,1768,1835,HRE/German Confederation
32118,Christine of Sardinia,1812,1836,Sardinia
1641,Charles / Hesse-Cassel,1744,1836,Hesse-Kassel
559,Wilhelmina / Hohenzollern,1774,1837,Prussia
203,William IV Henry / Hanover,1765,1837,United Kingdom
11756,Maximillian Saxony Wetting,1759,1838,Saxony
4980,Marie Frederica / Hesse-Cassel,1768,1839,Hesse-Kassel
162,Frederick William III / Hohenzollern,1770,1840,Prussia
516,Augusta Hohenzollern,1808,1841,Prussia (Hohenzollern)
5163,Cecilie / Holstein-Gottorp,1807,1844,Sweden
139,Ernest I/Saxe-Coburg-Saaifeld,1784,1844,Saxe-Coburg Gotha (German Confed)
684,Joseph / Austria Hapsburg-Lotharingen,1776,1847,Austria
1084,Charlotte / Saxe-Hildburghausen,1787,1847,Saxe-Altenberg (German Empire)
356,Amalie  /von WÅrttemberg/,1799,1848,Kingdom of Württemberg
31982,Maria Isabella / Spain de Bourbon,1789,1848,Spain
1645,Christian VIII / Denmark Oldenburg,1786,1848,"Denmark, Norway"
652,William II of Netherlands von Nassau,1792,1849,Netherlands
686,Ferdinand / Austria-EsteHapsburg,1821,1849,Austria
132,Adolphus Frederick of Cambridge/Hanover/,1774,1850,"United Kingdom, Hanover"
245,Louise Marie d'Orleans,1812,1850,France
31910,Leopold de Bourbon,1790,1851,Two Sicilies
1139,Auguste Wittelsbach,1788,1851,Bavaria
5168,Leopold I / Baden Zhringen,1790,1852,Grand Duchy of Baden
19388,Maximillian / Leuchtenberg,1817,1852,France
1618,Maria Sophia Frederic / Hesse-Cassel,1767,1852,Hesse-Kassel
1073,Paul Charles Frederick von Wurttemberg,1785,1852,Wurttemberg
10177,Maria II / Portugal Bragana,1819,1853,Portugal
1142,Therese of /Saxe-Hildburghausen/,1792,1854,Saxe-Altenberg (German Empire)
3779,Charles III / Parma de Bourbon,1823,1854,Duchy of Parma
595,Maria Dorothea /von WÅrttemberg/,1797,1855,Wurttemberg
23784,Charles de Molinade Bourbon,1788,1855,Spain
18493,Teresa  /Habsburg-Lotharingen/,1801,1855,Austria
42,Nicholas I Pavlovich/Romanov,1796,1855,Russia
18962,Victoria / Saxe-Coburg Gotha,1822,1857,Saxe-Coburg and Gotha (Germany)
23944,Margaret / Saxony Wettin,1840,1858,Saxony
23792,Anna / Saxony Wettin,1836,1859,Saxony
10268,Ferdinand II / Sicily de Bourbon,1810,1859,Kingdom of Two Sicilies
4908,Marie Pavlovna Romanov,1786,1859,Russia
43,Alexandra (Charlotte)/Hohenzollern,1798,1860,Prussia
138,Victoria Mary Louisavon/Saxe-Coburg,1786,1861,Saxe-Coburg-Saalfed (German Confed)
2,Albert Augustus Saxe-Coburg-Gotha,1819,1861,Saxe-Coburg and Gotha (German Confederation)
411,Frederick William IV / Hohenzollern,1795,1861,Prussia
495,Mathilde / Wittelsbach,1813,1862,
1646,Frederick Ferdinand Oldenburg,1792,1863,Denmark
1649,Federick VII of Denmark Oldenburg,1808,1863,Denmark
1143,Maximilian II /Wittelsbach/,1811,1864,Bavaria
1070,William I / Wurttemberg,1781,1864,Wurttemberg
5161,Sophie Wilhelmina / Holstein-Gottorp,1801,1865,Sweden
298,William X / Hesse-Cassel,1787,1867,Hesse-Kassel
1662,Maximillian / Habsburg-Lotharingen,1832,1867,Austria
31914,Caroline de Bourbon,1822,1869,Two Sicilies
1029,Louise Augusta / Hohenzollern,1808,1870,Prussia
1086,Frederick Charles Augustus / Wurttemberg,1808,1870,Wurttemberg
1028,Louise von Nassau,1828,1871,Netherlands
2656,Amelia Maria / Gloria Saxe-Weimar,1830,1872,Saxe-Weimar-Eisenhach
1027,Charles XV / Sweden-Bernadotte,1826,1872,"Sweden, Norway"
20405,Auguste Bernadotte,1831,1873,Sweden
516,Marie / Saxe-Weimar-Eisenach,1808,1877,Saxe-Weimar-Eisenhach
1690,Henry / Netherlands / Nassau,1820,1879,
45,Marie of Hesse-Darmstadt,1824,1880,Hesse-Darmstadt
44,Alexander II Nicholoevich/Romanov,1818,1881,Russia
18955,August / Saxe-Coburg-Gotha,1818,1881,Saxe-Coburg and Gotha (Germany)
1213,Frederick Francis Ilvon / Mecklenburg,1823,1883,
414,Charles / Hohenzollern,1801,1883,Prussia
10,Leopold George Duncan Albert/Wettin,1853,1884,United Kingdom
683,Alfonso XII of Spain,1857,1885,Spain
1216,Hlne Henrietta von Nassau,1831,1888,Luxembourg (House of Nassau-Weilburg)
20,Frederick III/Germany/Hohenzollern,1831,1888,German Empire
10179,Lues I Portugal / Saxe-Coburg Gotha,1838,1889,Portugal
1439,Rudolf / Habsburg-Lotharingen,1858,1889,Austria
19096,Anton d'Orleans,1824,1890,
655,William III / Netherlands von Nassau,1817,1890,Netherlands
427,Marie Louise Augusta / Saxe-Weimar,1811,1890,Saxe-Weimar-Eisenhach
163,Alexandra / Schleswig-Holstein-Soderburg,1870,1891,Greece
2665,Nicholas Nicholajievic Romanov,1831,1891,Russia
19100,Louis Philippe d'Orleans,1838,1894,France
40,Alexander III Alexandrovich/Romanov,1845,1894,Russia
5032,Marie Louise Charlotte / Hesse-Cassel,1814,1895,Hesse-Kassel
19090,Louis d'Orleans,1814,1896,France
25,Henry Maurice Von Battenburg,1858,1896,Hesse-Darmstadt
646,Karl Ludwig / Hapsburg-Lotharingen,1833,1896,Austria
1200,Sophie of Bavaria,1847,1897,Bavaria
4869,Wilhelm / Baden-Zhringen,1829,1897,Grand Duchy of Baden
1196,Elizabeth of Bavaria,1837,1898,Bavaria
23952,Sophie of Lichtenstein,1837,1899,Liechtenstein (lower Austria)
19027,Marie Louise / Parma de Bourbon,1870,1899,Parma
7269,Humbert I / Italy de Savoy,1844,1900,Italy
6,Alfred Ernest Albert/Wettin,1844,1900,United KIngdom
19093,Francis d'Orleans,1818,1900,France
3,Victoria Adelaide Mary/Wettin,1840,1901,United Kingdom
2449,Maria Henrietta Hapsburg-Lotharingen,1836,1902,Austria
685,Elisabeth / Hapsburg-Lotharingen,1831,1903,
1114,Philip / Flanders Saxe Coburg,1837,1905,Belgium
1099,Leopold / Hohenzollern-Sigmaringen,1835,1905,Prussia (Hohenzollern)
1182,Amulf Wittelsbach,1852,1907,Bavaria
10180,Carlos I / Portugal / Saxe-Coburg Gotha,1863,1908,Portugal
1197,Karl Theodor Gackl,1839,1909,Bavaria
4,Edward VII Wettin,1841,1910,United Kingdom
19168,George Romanowsky,1852,1912,
582,William IV / Luxembourg von Nassau,1852,1912,Luxembourg
604,Frederick VIII /Schleswig-Holstein/,1843,1912,Denmark
690,Maria Gabriele / Bavaria,1878,1912,Bavaria
1110,Marie Hohenzollern-Signaringen,1845,1912,Prussia (Hohenzollern)
227,William George I of Hellenes/Schleswig,1845,1913,Greece
2671,Constantine Romanov,1858,1915,Russia
120,Louise Margaret / Prussia/Hohenzollern,1860,1917,Prussia
4643,Eduard Georg Wilhelm von Anhalt,1861,1918,
