budget,id,imdb_id,original_language,original_title,overview,popularity,poster_path,release_date,revenue,runtime,tagline,title,vote_average,year
12000000,299782,tt0069049,en,The Other Side of the Wind,"Orson Welles' unfinished masterpiece, restored and assembled based on Welles' own notes. During the last 15 years of his life, Welles, who died in 1985, worked obsessively on the film, which chronicles a temperamental film director—much like him—who is battling with the Hollywood establishment to finish an iconoclastic work.",0.238154,/wtSpgCw6MmSxGYysaa17f0a9U4y.jpg,2018-12-31,0.0,0.0,,The Other Side of the Wind,0.0,2018
5500000,403119,tt2932536,en,47 Meters Down,"Two sisters on Mexican vacation are trapped in a shark observation cage at the bottom of the ocean, with oxygen running low and great whites circling nearby, they have less than an hour of air left to figure out how to get to the surface.",52.854103,/2IgdRUTdHyoI3nFORcnnYEKOGIH.jpg,2017-06-15,44235023.0,89.0,No way out. No way up. No chance in hell.,47 Meters Down,5.1,2017
0,374471,tt4446472,en,Porto,"Jake and Mati are two outsiders in the northerly Portuguese city of Porto who once experienced a brief connection. A mystery remains about the moments they shared, and in searching through memories, they relive the depths of a night uninhibited by the consequences of time.",2.152189,/2jsNrAJx3z1uzrw4Jg1XIvOl7Cv.jpg,2017-09-14,0.0,75.0,,Porto,7.8,2017
700000,388256,tt4818168,en,Mamaboy,"A high school student must hide the fact that he has become pregnant from his family, friends and the school faculty!",1.061991,/ocsSTZEAbNuz68yqsfbOFlas9N4.jpg,2017-05-23,0.0,124.0,High school just got weirder.,Mamaboy,1.0,2017
0,413765,tt1691152,en,David Lynch: The Art Life,"An intimate journey through the formative years of [Lynch’s] life. From his idyllic upbringing in small town America to the dark streets of Philadelphia, we follow Lynch as he traces the events that have helped to shape one of cinema’s most enigmatic directors. David Lynch: The Art Life infuses Lynch’s own art, music and early films, shining a light into the dark corners of his unique world, giving audiences a better understanding of the man and the artist.",2.901372,/pgtQceTZKylB2B237t18h2pOXpE.jpg,2017-02-15,0.0,90.0,,David Lynch: The Art Life,7.2,2017
0,354859,tt4776998,en,The Promise,"Set during the last days of the Ottoman Empire, a love triangle develops between Mikael, a brilliant medical student, the beautiful and sophisticated artist Ana, and Chris, a renowned American journalist based in Paris.",9.555114,/iDWer2VFikupdqDc7d5sxCWZ3gW.jpg,2017-04-21,0.0,130.0,Empires fall. Love survives.,The Promise,7.3,2017
45000000,402529,tt1666185,en,All Eyez on Me,"All Eyez on Me chronicles the life and legacy of Tupac Shakur, including his rise to superstardom as a hip-hop artist, actor, poet and activist, as well as his imprisonment and prolific, controversial time at Death Row Records. Against insurmountable odds, Tupac rose to become a cultural icon whose career and persona both continue to grow long after his passing.",9.809168,/zmgsaKFWbmZ1Grz4SO0PLNxilv3.jpg,2017-06-12,0.0,139.0,Legends never die,All Eyez on Me,6.3,2017
0,339967,tt4680182,en,Colossal,A woman discovers that severe catastrophic events are somehow connected to the mental breakdown from which she's suffering.,25.373662,/4VOyofBd1pexblxtDZYtYIk7NI4.jpg,2017-04-06,3021345.0,110.0,There's a monster in all of us,Colossal,6.2,2017
0,86822,tt1945228,en,Voyage of Time: Life's Journey,"A celebration of the universe, displaying the whole of time, from its start to its final collapse. This film examines all that occurred to prepare the world that stands before us now: science and spirit, birth and death, the grand cosmos and the minute life systems of our planet. (Wide release version with narration by Cate Blanchett.)",6.913581,/lfdinlGEkAwZGa4FOxKN6kMAt61.jpg,2017-04-13,0.0,90.0,From So Simple a Beginning.,Voyage of Time: Life's Journey,6.2,2017
0,394822,tt1724597,en,London Town,A 14-year old boy’s life changes forever when his estranged mother introduces him to the music of The Clash in 1979 London.,1.957074,/f19Ei5nSFHGcv18vv2njTneYr2I.jpg,2017-08-03,0.0,92.0,,London Town,6.3,2017
0,324560,tt1895315,en,Brimstone,"In the menacing inferno of the old American West, Liz is a genuine survivor who is hunted by a vengeful preacher for a crime she didn’t commit.",18.473022,/fYYruOEwdbJhlgdfK1HxPhXwHiB.jpg,2017-01-12,0.0,148.0,Retribution is coming.,Brimstone,7.0,2017
2494400,364410,tt4211312,en,The White King,"Djata is a care-free 12-year-old growing up in a brutal dictatorship shut off from the outside world. When the government imprisons his father, Peter, and Djata and his mother Hannah are labeled traitors, the boy will not rest until he sees his father again.",1.779393,/5F9g38g6utZYWx6WPQwkQEoD3JD.jpg,2017-01-27,0.0,89.0,The hardest thing to break is the human spirit.,The White King,6.3,2017
0,393561,tt4964772,en,Risk,"Capturing the story of WikiLeaks founder Julian Assange with unprecedented access, director Laura Poitras finds herself caught between the motives and contradictions of Assange and his inner circle in a documentary portrait of power, betrayal, truth and sacrifice.",2.511092,/rxrkcyNNughClOL8j8qwNgY9xI5.jpg,2017-05-05,0.0,97.0,How much of your own life are you willing to risk,Risk,6.9,2017
0,373480,tt5278598,en,Kiki,"25 years after Paris is Burning, we dive back into the fierce world of voguing battles in the Kiki scene of New York City, where competition between Houses demands leadership, painstaking practice, and performances on point. A film collaboration between Kiki gatekeeper, Twiggy Pucci Garçon, and Swedish filmmaker Sara Jordenö, we’re granted exclusive access into this high stakes world, where tough competitions act as a gateway into the daily lives of LGBTQ youth of color in NYC. The new generation of ballroom youth use the motto, “Not About us Without Us”. Twiggy and Sara’s insider-outsider approach to their stories breathes fresh life into the representation of a marginalized community who demand visibility and real political power.",0.560965,/8zduTqlE1BKIFDwp5hxR4Ajcbwm.jpg,2017-05-26,0.0,100.0,Live your truth.,Kiki,7.0,2017
0,322548,tt3014078,en,Shangri-La Suite,Karen and Jack met in a mental hospital and fell in love. They set out to follow what Jack thinks is his destiny: killing Elvis Presley.,3.073417,/wD7VbcmL1aOdrv2otvQVs030PIV.jpg,2017-01-11,0.0,90.0,Meet Karen Bird and Jack Blueblood. Lovers. Dreamers. Serial Killers.,Shangri-La Suite,6.1,2017
0,408267,tt5451054,bg,Безбог,"A nurse traffics the ID cards of demented patients on the black market of identity theft. Driven by easy cash, and an addiction to morphine, she struggles to keep tabs on her emotional void, and a growing fear of punishment.",0.853673,/aBnhShxCNEtu4GpASbqCA1978HK.jpg,2017-03-09,0.0,99.0,,Godless,1.0,2017
30000000,365942,tt3922818,en,The Space Between Us,A young man raised by scientists on Mars returns to Earth to find his father.,11.824404,/AjZ22T1tFWlmwi4jIsV0fsvnI6c.jpg,2017-01-26,14793385.0,121.0,What's your favorite thing about Earth?,The Space Between Us,7.2,2017
0,384673,tt5525310,en,National Bird,"Sonia Kennebeck takes on the controversial tactic of drone warfare, and demands accountability through the personal accounts—recollections, traumas, and responses—of three American military veterans whose lives have been shaken by the roles they played in this controversial method of attack.",0.749444,/ijHbFXgfDwJBhmjFplsfQkZpWiW.jpg,2017-05-18,0.0,92.0,,National Bird,7.0,2017
0,411019,tt5804038,en,I Am Not Your Negro,"Working from the text of James Baldwin’s unfinished final novel, director Raoul Peck creates a meditation on what it means to be Black in the United States.",11.781919,/zwd0Zti7BvY1mO0mTPzM0fRrtc6.jpg,2017-02-03,0.0,95.0,,I Am Not Your Negro,8.0,2017
0,392011,tt4420704,tr,Kedi,"A profile of an ancient city and its unique people, seen through the eyes of the most mysterious and beloved animal humans have ever known, the Cat.",3.469644,/5z2vuJk6P7V2azw3gWQF7L4l5xU.jpg,2017-02-10,0.0,80.0,,Kedi,7.4,2017
22000000,381289,tt1753383,en,A Dog's Purpose,A dog goes on quest to discover his purpose in life over the course of several lifetimes with multiple owners.,9.863789,/3jcNvhtVQe5Neoffdic39fRactM.jpg,2017-01-19,194647323.0,100.0,Every dog happens for a reason.,A Dog's Purpose,6.6,2017
10000,382127,tt4511200,en,Manifesto,"Manifesto draws on the writings of Futurists, Dadaists, Fluxus artists, Suprematists, Situationists, Dogma 95 and other artist groups, and the musings of individual artists, architects, dancers and filmmakers, editing and reassembling them as a collage of artists’ manifestos, ultimately questioning the role of the artist in society today. Performing these ‘new manifestos’ while inhabiting thirteen different personas – among them a school teacher, a puppeteer, a newsreader, a factory worker and a homeless man – Cate Blanchett imbues new dramatic life into these famous words in unexpected contexts. A feature film version of this art installation will premiere at the 2017 Sundance Film Festival.",2.02267,/8LY48gQbMI3wTYCSogxsPd6oS6G.jpg,2017-06-15,0.0,130.0,ALL CURRENT ART IS FAKE,Manifesto,8.0,2017
0,411873,tt5666304,en,The Little Hours,A young servant fleeing from his master takes refuge at a convent full of emotionally unstable nuns in the middle ages.,13.423018,/wS69OOwBJzimoLIcmYMSVkmhCZM.jpg,2017-06-30,0.0,89.0,,The Little Hours,5.9,2017
20000000,345922,tt3401882,en,Fist Fight,"When one school teacher gets the other fired, he is challenged to an after-school fight.",22.831649,/yONLyCSO0zyDvmVJO2i1U4yrNHE.jpg,2017-02-16,0.0,91.0,After school. Parking lot. It's on.,Fist Fight,6.2,2017
30000000,324542,tt2072233,en,Sleepless,"Undercover Las Vegas police officer Vincent Downs is caught in a high stakes web of corrupt cops and the mob-controlled casino underground. When a heist goes wrong, a crew of homicidal gangsters kidnaps Downs’ teenage son. In one sleepless night he will have to rescue his son, evade an internal affairs investigation and bring the kidnappers to justice.",12.240817,/9WkUSY33MDPGmz0vtzbsfaxTHVa.jpg,2017-01-12,32540674.0,95.0,Don't judge a cop by his cover.,Sleepless,5.8,2017
40000000,340837,tt4731136,en,A Cure for Wellness,"An ambitious young executive is sent to retrieve his company's CEO from an idyllic but mysterious ""wellness center"" at a remote location in the Swiss Alps but soon suspects that the spa's miraculous treatments are not what they seem.",13.28436,/byeTgTgG7M1RN2c7njWWIkSkNig.jpg,2017-02-15,26559557.0,146.0,There is a Cure,A Cure for Wellness,6.0,2017
0,377691,tt1740683,da,Mesteren,"Simon is the king of the Danish art scene - eccentric, successful, wealthy, with a beautiful wife and a young mistress. Life is beautiful, until the day his unknown son Casper turns up and attracts all the attention. It turns out that Casper is the world-famous graffiti artist “The Ghost”. This is a provocation and a challenge to Simon, and the relationship between father and son is put to a serious test. However, against all odds he two slowly grow closer to each other, but the question is whether blood ties are enough? Because after all Simon has no plans of being a father, and Casper has other plans with his father than simply getting to know him…",1.047288,/duAPHcXcrUviFtNmQOZ9cr8K63D.jpg,2017-03-02,0.0,93.0,,The Man,0.0,2017
85000000,47971,tt1293847,en,xXx: Return of Xander Cage,"Extreme athlete turned government operative Xander Cage comes out of self-imposed exile, thought to be long dead, and is set on a collision course with deadly alpha warrior Xiang and his team in a race to recover a sinister and seemingly unstoppable weapon known as Pandora's Box. Recruiting an all-new group of thrill-seeking cohorts, Xander finds himself enmeshed in a deadly conspiracy that points to collusion at the highest levels of world governments.",17.918269,/yNsdyNbQqaKN0TQxkHMws2KLTJ6.jpg,2017-01-13,346147658.0,107.0,"There are no more patriots, just rebels and tyrants.",xXx: Return of Xander Cage,5.5,2017
7400000,292280,tt4030600,en,The Bye Bye Man,"When three college students move into an old house off campus, they unwittingly unleash a supernatural entity known as The Bye Bye Man, who comes to prey upon them once they discover his name. The friends must try to save each other, all the while keeping The Bye Bye Man's existence a secret to save others from the same deadly fate.",19.225832,/bape74Eeli5NJ6x4UKuUr604xXh.jpg,2017-01-12,26667197.0,96.0,Don't think it. Don't say it.,The Bye Bye Man,5.1,2017
0,395982,tt5154288,en,Prevenge,"A pregnant widow, believing herself to be guided by her unborn child, embarks on a homicidal rampage.",7.651227,/5OWrwvKscVc7Md0IvtTLZmjXbKt.jpg,2017-02-10,0.0,88.0,,Prevenge,6.1,2017
80000000,324849,tt4116284,en,The Lego Batman Movie,"In the irreverent spirit of fun that made “The Lego Movie” a worldwide phenomenon, the self-described leading man of that ensemble—Lego Batman—stars in his own big-screen adventure. But there are big changes brewing in Gotham, and if he wants to save the city from The Joker’s hostile takeover, Batman may have to drop the lone vigilante thing, try to work with others and maybe, just maybe, learn to lighten up.",17.070748,/snGwr2gag4Fcgx2OGmH9otl6ofW.jpg,2017-02-08,311950384.0,104.0,Always be yourself. Unless you can be Batman.,The Lego Batman Movie,7.2,2017
0,413837,tt5771640,fr,Noces,"Zahira, 18, is close to her family until her parents ask her to follow Pakistani tradition to choose a husband. Torn between family customs and her western lifestyle, the young woman turns for help to her brother and confidant Amir.",1.459408,/wDWEIDnW2T4YvRc1aExAOYKslOu.jpg,2017-02-22,0.0,95.0,,A Wedding,6.3,2017
65000000,383785,tt4217392,zh,功夫瑜伽,"Chinese archeology professor Jack teams up with beautiful Indian professor Ashmita and assistant Kyra to locate lost Magadha treasure. In a Tibetan ice cave, they find the remains of the royal army that had vanished together with the treasure, only to be ambushed by Randall, the descendent of a rebel army leader. When they free themselves, their next stop is Dubai where a diamond from the ice cave is to be auctioned. After a series of double-crosses and revelations about their past, Jack and his team travel to a mountain temple in India, using the diamond as a key to unlock the real treasure.",17.630487,/ko0OKLprl6uNbY1FLIkFeGem0mV.jpg,2017-01-27,254212245.0,130.0,,Kung Fu Yoga,5.9,2017
12003848,392271,tt4909752,hi,रंगून,Love triangle set against the backdrop of World War II.,4.419157,/tW6C3Gkx4IA1QDDW6bPhH0AEmvI.jpg,2017-02-24,0.0,167.0,Love. War. Deceit,Rangoon,7.0,2017
0,401544,tt5493706,en,Death Race 2050,"The year 2050 the planet has become overpopulated, to help control population the government develops a race. The Death Race. Annually competitors race across the country scoring points for killing people with their vehicles.",5.209399,/pxhGPlAUW6wQNgm7NllYQ02jXC2.jpg,2017-01-17,0.0,93.0,,Death Race 2050,3.7,2017
0,256569,tt3305308,en,Trespass Against Us,"Three generations of the rowdy Cutler family live as outlaws in some of Britain's richest countryside – hunting hares, ram-raiding stately homes, and taunting the police. Struggling to retain a way of life fast becoming extinct, Chad Cutler ends up caught between his father's archaic principles and trying to do right by his kids, whilst the full force of the law is finally catching up with him.",11.480378,/4lGKBscylAN093abvEo751rDIyF.jpg,2017-01-20,0.0,99.0,Blood is a brutal bond.,Trespass Against Us,6.0,2017
0,381008,tt5432114,en,Claire in Motion,"Claire is sure of herself, her work and family, until — like a bad dream — her husband disappears, leaving a trail of puzzling secrets that shatter her certainty.",0.899753,/hYSGQfuSnXhCRtAZ86LO7nn2uX5.jpg,2017-01-13,0.0,83.0,,Claire in Motion,4.9,2017
0,429238,tt5740806,en,Coin Heist,"When a crisis threatens to destroy their high school, four teens hatch a daring plan to raise $10 million. Step one? Breaking into the U.S. Mint.",2.835202,/2I9pEcfL9z4vHbhrBydxe4jZLdk.jpg,2017-01-06,0.0,97.0,,Coin Heist,5.1,2017
25000000,14564,tt0498381,en,Rings,"Julia becomes worried about her boyfriend, Holt when he explores the dark urban legend of a mysterious videotape said to kill the watcher seven days after viewing. She sacrifices herself to save her boyfriend and in doing so makes a horrifying discovery: there is a ""movie within the movie"" that no one has ever seen before.",24.535733,/bbxtz5V0vvnTDA2qWbiiRC77Ok9.jpg,2017-02-01,83080890.0,102.0,Evil is reborn.,Rings,4.8,2017
0,433244,tt5577742,en,Clinical,"A psychiatrist tries to put her life back together after a violent attack by seeking to repair the life of a new patient, but he has his own terrifying history.",13.934252,/yDnaWPY7MNVaHA0IuUtkgkxGI1c.jpg,2017-01-13,0.0,104.0,,Clinical,5.4,2017
0,432959,tt6090102,en,Jim Gaffigan: Cinco,America's king of clean comedy delivers wickedly funny jokes in his fifth hour-long special.,1.118338,/mfGQ4j5f6AN9HwI0DPXlv5V3gvS.jpg,2017-01-10,0.0,73.0,,Jim Gaffigan: Cinco,7.6,2017
2500000,428645,tt5968964,pt,Eu Fico Loko,,1.948382,/mKXIEpd4NbAr4v0IR9C87cXd0sY.jpg,2017-01-12,0.0,,,Eu Fico Loko,8.3,2017
0,362202,tt3297382,en,The Crash,"In the not so distant future, a team of white collar criminals are enlisted by the Federal government to thwart a cyber-attack that threatens to bankrupt the United States of America.",4.05452,/lzpMTS3h8YnYBzVRIFhIdzlgITU.jpg,2017-01-13,0.0,80.0,It takes a criminal to catch a criminal,The Crash,5.2,2017
0,362585,tt5084198,ja,傷物語〈Ⅲ冷血篇〉,"With help from Meme Oshino, the apparition specialist, Koyomi defeats the three powerful vampire hunters: Dramaturgy, Episode and Guillotinecutter. Koyomi takes back all the limbs of Kiss-shot Acerola-orion Heart-under-blade in order to become a human again.",3.519786,/77Tj7EZBTcO7thucfWf2AVesj1f.jpg,2017-01-06,0.0,82.0,,Kizumonogatari Part 3: Reiketsu,9.4,2017
40000000,324552,tt4425200,en,John Wick: Chapter 2,"John Wick is forced out of retirement by a former associate looking to seize control of a shadowy international assassins’ guild. Bound by a blood oath to aid him, Wick travels to Rome and does battle against some of the world’s most dangerous killers.",49.247505,/zkXnKIwX5pYorKJp2fjFSfNyKT0.jpg,2017-02-08,171539887.0,122.0,Never stab the devil in the back,John Wick: Chapter 2,6.7,2017
5000000,419430,tt5052448,en,Get Out,"Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.",36.894806,/1SwAVYpuLj8KsHxllTF8Dt9dSSX.jpg,2017-02-24,252434250.0,104.0,"Just because you're invited, doesn't mean you're welcome.",Get Out,7.2,2017
97000000,263115,tt3315342,en,Logan,"In the near future, a weary Logan cares for an ailing Professor X in a hideout on the Mexican border. But Logan's attempts to hide from the world and his legacy are upended when a young mutant arrives, pursued by dark forces.",54.581997,/gGBu0hKw9BGddG8RkRAMX7B6NDB.jpg,2017-02-28,616801808.0,137.0,His time has come,Logan,7.6,2017
185000000,293167,tt3731562,en,Kong: Skull Island,"Explore the mysterious and dangerous home of the king of the apes as a team of explorers ventures deep inside the treacherous, primordial island.",29.429112,/r2517Vz9EhDhj88qwbDVj8DCRZN.jpg,2017-03-08,566652812.0,118.0,All hail the king,Kong: Skull Island,6.2,2017
3892200,408626,tt1966385,en,City of Tiny Lights,"In the teeming, multicultural metropolis of modern-day London, a seemingly straightforward missing-person case launches a down-at-heel private eye into a dangerous world of religious fanaticism and political intrigue.",4.69328,/eX9iEZdU2w1elGQhNY50DmKqiaE.jpg,2017-04-07,0.0,110.0,Some secrets should remain buried,City of Tiny Lights,6.0,2017
